POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
21;540;Classified;109;4:00:49.715;2 Laps;+3:49.123;93;1:53.051;182.4;Black Swan Racing;GS;;;Porsche 718 GT4 RS CS;M;1602;30;5;108;112;3;;12292;;;Tim;Pappas;Bronze;Boston, MA;;;1158;1;Bronze;;;Jeroen;Bleekemolen;Gold;Monaco;;;186;2;Gold;;;Sebastiaan;Bleekemolen;Silver;Aerdenhout, Netherlands;;;2691;3;Silver;;;;;;;;;;;;;;;;;;;;;
22;24;Classified;109;4:01:09.635;2 Laps;+19.920;75;1:54.924;179.5;Ian Lacy Racing;GS;;;Ford Mustang GT4;M;589;254;5;54;107;3;;12277;;;Frank;Gannett;Bronze;Salt Lake City, UT;;;1795;1;Bronze;;;Drew;Staveley;;Walnut, CA;;;1797;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;21;Classified;109;4:02:13.863;2 Laps;+1:04.228;55;1:54.523;180.1;Riley Motorsports;GS;;;Toyota Supra GT4;M;1414;35;5;104;7662;3;;12269;;;Anton;Dias Perera;;Memphis,TN;;;1987;1;;;;Colin;Braun;Gold;Ovalo, TX;;;61;2;Gold;;;Scott;Andrews;Gold;Torquay, Australia;;;1657;3;Gold;;;;;;;;;;;;;;;;;;;;;
24;42;Classified;109;4:02:19.438;2 Laps;+5.575;58;1:54.026;180.9;PF Racing;GS;;;Ford Mustang GT4;M;1595;243;5;54;107;3;;12280;;;Chase;Briscoe;;Mitchell, IN;;;1614;1;;;;Hailie;Deegan;;Temecula, CA;;;2025;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;5;Classified;107;4:01:12.238;4 Laps;2 Laps;90;1:59.220;173.0;KMW Motorsports with TMR Engineering;TCR;;;Alfa Romeo Giulietta Veloce TCR;M;962;265;22;95;7658;3;;12301;;;Roy;Block;;Winter Park, FL;;;1077;3;;;;Tim;Lewis;Bronze;Boca Raton, FL;;;1801;2;Bronze;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;8;Classified;107;4:01:20.758;4 Laps;+8.520;70;1:54.175;180.6;McCann Racing;GS;;;Porsche 718 GT4 RS CS;M;1532;303;5;108;112;3;;12262;;;Andrew;Davis;Silver;Athens, GA;;;329;2;Silver;;;Michael;McCann;;Canton, OH;;;1937;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;1;Classified;107;4:01:21.762;4 Laps;+1.004;91;1:59.778;172.2;Bryan Herta Autosport w/ Curb Agajanian;TCR;;;Hyundai Elantra N TCR;M;1547;255;22;98;7660;3;;12300;;;Michael;Lewis;Gold;Laguna Beach, CA;;;730;2;Gold;;;Taylor;Hagler;Silver;San Antonio, TX;;;1921;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;33;Classified;107;4:01:26.273;4 Laps;+4.511;90;2:00.021;171.8;Bryan Herta Autosport w/ Curb Agajanian;TCR;;;Hyundai Elantra N TCR;M;952;255;22;98;7660;3;;12298;;;Mark;Wilkins;Gold;Mulmur, ON;;;317;4;Gold;;;Robert;Wickens;Gold;Guelph, ON;;;1286;3;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;44;Classified;107;4:01:31.010;4 Laps;+4.737;91;2:00.234;171.5;NGP Motorsports;TCR;;;Audi RS3 LMS DSG;M;1588;406;22;94;909;3;;12303;;;Tristan;Herbert;Bronze;Great Falls, VA;;;2256;1;Bronze;;;William;Tally;;Athens, GA;;;2039;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;19;Classified;107;4:01:32.168;4 Laps;+1.158;91;2:00.285;171.5;VAN DER STEUR RACING;TCR;;;Hyundai Veloster N TCR;M;950;341;22;76;7660;3;;12304;;;Rory;van der Steur;Silver;Chesapeake City, MD;;;2693;1;Silver;;;Tyler;Gonzalez;Silver;St. Cloud, FL;;;2164;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;54;Classified;106;4:00:57.930;5 Laps;1 Lap;75;1:59.510;172.6;Michael Johnson Racing w/ Bryan Herta Autosport;TCR;;;Hyundai Elantra N TCR;M;1617;255;22;98;7660;3;;12296;;;Stephen;Simpson;Silver;Cape Town, South Africa;;;765;3;Silver;;;Michael;Johnson;;Mount Morris, MI;;;261;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;43;Classified;105;4:01:09.462;6 Laps;1 Lap;74;1:54.564;180.0;Stephen Cameron Racing;GS;;;BMW M4 GT4;M;909;220;5;68;74;3;;12271;;;Sean;Quinlan;Bronze;Palo Alto, CA;;;2172;1;Bronze;;;Gregory;Liefooghe;Silver;San Francisco, CA;;;504;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;15;Classified;105;4:01:34.668;6 Laps;+25.206;5;2:01.374;169.9;Belgard & Techniseal Racing;TCR;;;Audi RS3 LMS DSG;M;1059;359;22;94;909;3;;12307;;;Eric;Rockwell;;Colts Neck, NJ;;;2431;1;;;;Alex;Rockwell;;Colts Neck, NJ;;;2403;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;85;Classified;103;4:02:25.507;8 Laps;2 Laps;62;2:02.144;168.9;AOA Racing;TCR;;;Audi RS3 LMS DSG;M;1076;330;22;94;909;3;;12308;;;Gino;Manley;;Fernandina Beach, FL;;;2133;1;;;;Patrick;Wilmot;Silver;Roswell, GA;;;1746;3;Silver;;;Andy;Wilmot;;Kent, United Kingdom;;;2768;4;;;;;;;;;;;;;;;;;;;;;;
35;77;Classified;97;4:01:16.564;14 Laps;6 Laps;22;1:59.883;172.0;Bryan Herta Autosport w/ Curb Agajanian;TCR;;;Hyundai Elantra N TCR;M;1544;255;22;98;7660;3;;12295;;;Tyler;Maxson;Silver;Bogart, GA;;;2151;1;Silver;;;Mason;Filippi;Silver;Alamo, CA;;;1829;5;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;27;Classified;94;4:00:53.429;17 Laps;3 Laps;8;1:55.869;178.0;Automatic Racing;GS;B;;Aston Martin Vantage GT4;M;1587;95;5;56;73;3;;12291;;;Paul;Kiebler IV;Bronze;Cleveland, OH;;;2129;2;Bronze;;;Jon;Branam;Bronze;Miami, FL;;;1238;1;Bronze;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;17;Classified;91;4:01:30.672;20 Laps;3 Laps;5;1:59.620;172.4;Unitronic JDC-Miller MotorSports;TCR;;;Audi RS3 LMS SEQ;M;956;270;22;99;909;3;;12294;;;Chris;Miller;Silver;Minneapolis, MN;;;265;1;Silver;;;Mikey;Taylor;;Pretoria, South Africa;;;791;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;73;Classified;85;3:23:55.995;26 Laps;6 Laps;57;2:00.312;171.4;LA Honda World Racing;TCR;;;Honda Civic FK7 TCR;M;1638;262;22;97;2081;3;;12305;;;Mike;LaMarra;;Brighton, MI;;;473;3;;;;Ryan;Eversley;Gold;Atlanta, GA;;;501;2;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;09;Classified;81;2:59:43.147;30 Laps;4 Laps;59;1:56.488;177.1;Automatic Racing;GS;B;;Aston Martin Vantage GT4;M;625;95;5;56;73;3;;12290;;;Ramin;Abdolvahabi;Bronze;Palm Bch Gardens, FL;;;2227;1;Bronze;;;Rob;Ecklin;Bronze;Lancaster, PA;;;452;2;Bronze;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;59;Classified;80;2:54:17.808;31 Laps;1 Lap;52;1:53.340;182.0;KOHR MOTORSPORTS;GS;;;Ford Mustang GT4;M;290;161;5;54;107;3;;12288;;;Bob;Michaelian;Bronze;Seal Beach, CA;;;417;2;Bronze;;;Billy;Johnson;Gold;Boynton Beach, FL;;;365;3;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;83;Classified;74;3:58:48.024;37 Laps;6 Laps;47;1:52.952;182.6;BGB Motorsports;GS;;;Porsche 718 GT4 RS CS;M;1597;157;5;108;112;3;;12283;;;Thomas;Collingwood;Bronze;St. John's, NL;;;1796;1;Bronze;;;John;Tecce;Bronze;Ormond Beach, FL;;;1268;2;Bronze;;;Spencer;Pumpelly;Silver;Atlanta, GA;;;64;3;Silver;;;;;;;;;;;;;;;;;;;;;
42;98;Classified;63;4:02:14.217;48 Laps;11 Laps;20;2:00.021;171.8;Bryan Herta Autosport w/ Curb Agajanian;TCR;;;Hyundai Elantra N TCR;M;953;255;22;98;7660;3;;12297;;;Harry;Gottsacker;Silver;San Antonio, TX;;;1456;3;Silver;;;Parker;Chase;Silver;New Braunfels, TX;;;1137;1;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;12;Classified;53;2:02:12.089;58 Laps;10 Laps;6;1:55.430;178.7;NTE Sport;GS;;;Aston Martin Vantage GT4;M;1599;353;5;56;73;3;;12287;;;Manny;Franco;;Milwaukee, WI;;;2584;1;;;;Josh;Hurley;Silver;Livermore, CA;;;947;2;Silver;;;Thomas;Merril;Bronze;;;;2722;3;Bronze;;;;;;;;;;;;;;;;;;;;;
44;99;Classified;49;2:09:06.425;62 Laps;4 Laps;39;1:59.879;172.1;Victor Gonzalez Racing Team - VGRT;TCR;;;Honda Civic FK7 TCR;M;1596;410;22;97;2081;3;;12306;;;Victor;Gonzalez;;Trujillo Alto, PR;;;811;1;;;;Ruben;Iglesias;;Cayey, PR;;;2404;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;61;Classified;42;1:34:55.947;69 Laps;7 Laps;4;2:00.054;171.8;Road Shagger Racing;TCR;;;Audi RS3 LMS SEQ;M;1409;342;22;99;909;3;;12302;;;Gavin;Ernstone;;Las Vegas, NV;;;1652;1;;;;Jon;Morley;Bronze;San Francisco, CA;;;2667;2;Bronze;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;89;Classified;41;2:02:14.837;70 Laps;1 Lap;22;1:59.252;173.0;HART (Honda of America Race Team);TCR;;;Honda Civic FK7 TCR;M;1616;391;22;97;2081;3;;12293;;;Chad;Gilsinger;Bronze;Marysville, OH;;;517;1;Bronze;;;Cameron;Lawrence;Silver;Lakeway, TX;;;446;3;Silver;;;Steve;Eich;Bronze;Marysville, OH;;;516;2;Bronze;;;;;;;;;;;;;;;;;;;;;
47;2;Classified;0;;111 Laps;41 Laps;0;;;Bryan Herta Autosport w/ Curb Agajanian;TCR;;;Hyundai Elantra N TCR;M;1546;255;22;98;7660;3;;12299;;;AJ;Muss;Silver;Rumson, NJ;;;1929;2;Silver;;;Ryan;Norman;Silver;Estero, FL;;;1927;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
;92;Not started;0;;;;0;;;Random Vandals Racing;GS;B;;BMW M4 GT4;M;1569;397;5;68;74;3;;12274;;;Paul;Sparta;Bronze;Great Falls, VA;;;2694;1;Bronze;;;Al;Carter;Bronze;Greenville, DE;;;242;2;Bronze;;;;;;;;;;;;;;;;;;;;;;;;;;;
