NUMBER;DRIVER_NUMBER;LAP_NUMBER;LAP_TIME;LAP_IMPROVEMENT;CROSSING_FINISH_LINE_IN_PIT;S1;S1_IMPROVEMENT;S2;S2_IMPROVEMENT;S3;S3_IMPROVEMENT;KPH;ELAPSED;HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS
2;3;23;1:47.120;0;;34.358;0;36.292;0;36.470;0;194.7;49:05.116;16:48:36.380;0:34.358;0:36.292;0:36.470;265;Picariello;;Pro;;Boutsen VDS;Porsche;GF;34.358;36.292;36.470
2;3;24;3:11.696;0;;34.288;0;1:05.238;0;1:32.170;0;108.8;52:16.812;16:51:48.076;0:34.288;1:05.238;1:32.170;266;Picariello;;Pro;;Boutsen VDS;Porsche;FCY;34.288;65.238;92.170
2;3;25;4:22.791;0;;1:26.135;0;1:21.607;0;1:35.049;0;79.4;56:39.603;16:56:10.867;1:26.135;1:21.607;1:35.049;;Picariello;;Pro;;Boutsen VDS;Porsche;FCY;86.135;81.607;95.049
2;2;26;5:21.029;0;;2:26.853;0;1:21.755;0;1:32.421;0;65.0;1:02:00.632;17:01:31.896;2:26.853;1:21.755;1:32.421;78;Boccolacci;;Pro;;Boutsen VDS;Porsche;GF;146.853;81.755;92.421
2;2;27;3:47.293;0;B;1:26.524;0;1:13.852;0;1:06.917;0;91.8;1:05:47.925;17:05:19.189;1:26.524;1:13.852;1:06.917;78;Boccolacci;;Pro;;Boutsen VDS;Porsche;SC;86.524;73.852;66.917
2;2;28;2:51.339;0;;1:05.150;0;53.340;0;52.849;0;121.7;1:08:39.264;17:08:10.528;1:05.150;0:53.340;0:52.849;103;Boccolacci;;Pro;;Boutsen VDS;Porsche;GF;65.150;53.340;52.849
2;2;29;1:48.962;0;;35.103;0;36.887;0;36.972;0;191.4;1:10:28.226;17:09:59.490;0:35.103;0:36.887;0:36.972;265;Boccolacci;;Pro;;Boutsen VDS;Porsche;GF;35.103;36.887;36.972
2;2;30;1:48.141;0;;34.668;0;36.698;0;36.775;0;192.8;1:12:16.367;17:11:47.631;0:34.668;0:36.698;0:36.775;265;Boccolacci;;Pro;;Boutsen VDS;Porsche;GF;34.668;36.698;36.775
2;2;31;1:47.915;0;;34.562;0;36.644;0;36.709;0;193.3;1:14:04.282;17:13:35.546;0:34.562;0:36.644;0:36.709;265;Boccolacci;;Pro;;Boutsen VDS;Porsche;GF;34.562;36.644;36.709
2;2;32;1:47.723;0;;34.523;0;36.372;0;36.828;0;193.6;1:15:52.005;17:15:23.269;0:34.523;0:36.372;0:36.828;265;Boccolacci;;Pro;;Boutsen VDS;Porsche;GF;34.523;36.372;36.828
2;2;33;1:48.063;0;;34.535;0;36.913;0;36.615;0;193.0;1:17:40.068;17:17:11.332;0:34.535;0:36.913;0:36.615;265;Boccolacci;;Pro;;Boutsen VDS;Porsche;GF;34.535;36.913;36.615
2;2;34;1:51.688;0;;34.497;0;36.567;0;40.624;0;186.7;1:19:31.756;17:19:03.020;0:34.497;0:36.567;0:40.624;265;Boccolacci;;Pro;;Boutsen VDS;Porsche;FCY;34.497;36.567;40.624
2;2;35;2:29.615;0;;1:15.400;0;37.387;0;36.828;0;139.4;1:22:01.371;17:21:32.635;1:15.400;0:37.387;0:36.828;78;Boccolacci;;Pro;;Boutsen VDS;Porsche;GF;75.400;37.387;36.828
2;2;36;1:47.838;0;;34.509;0;36.554;0;36.775;0;193.4;1:23:49.209;17:23:20.473;0:34.509;0:36.554;0:36.775;266;Boccolacci;;Pro;;Boutsen VDS;Porsche;GF;34.509;36.554;36.775
2;2;37;1:47.607;0;;34.473;0;36.503;0;36.631;0;193.8;1:25:36.816;17:25:08.080;0:34.473;0:36.503;0:36.631;266;Boccolacci;;Pro;;Boutsen VDS;Porsche;GF;34.473;36.503;36.631
2;2;38;1:48.203;0;;34.756;0;36.781;0;36.666;0;192.7;1:27:25.019;17:26:56.283;0:34.756;0:36.781;0:36.666;266;Boccolacci;;Pro;;Boutsen VDS;Porsche;GF;34.756;36.781;36.666
2;2;39;1:47.181;0;;34.396;0;36.322;0;36.463;0;194.6;1:29:12.200;17:28:43.464;0:34.396;0:36.322;0:36.463;266;Boccolacci;;Pro;;Boutsen VDS;Porsche;GF;34.396;36.322;36.463
2;2;40;1:47.283;0;;34.286;0;36.460;0;36.537;0;194.4;1:30:59.483;17:30:30.747;0:34.286;0:36.460;0:36.537;266;Boccolacci;;Pro;;Boutsen VDS;Porsche;GF;34.286;36.460;36.537
2;2;41;1:46.788;1;;34.253;0;36.091;1;36.444;1;195.3;1:32:46.271;17:32:17.535;0:34.253;0:36.091;0:36.444;267;Boccolacci;;Pro;;Boutsen VDS;Porsche;GF;34.253;36.091;36.444
2;2;42;1:47.314;0;;34.377;0;36.339;0;36.598;0;194.3;1:34:33.585;17:34:04.849;0:34.377;0:36.339;0:36.598;268;Boccolacci;;Pro;;Boutsen VDS;Porsche;GF;34.377;36.339;36.598
2;2;43;3:07.400;0;;34.341;0;1:00.802;0;1:32.257;0;111.3;1:37:40.985;17:37:12.249;0:34.341;1:00.802;1:32.257;267;Boccolacci;;Pro;;Boutsen VDS;Porsche;FCY;34.341;60.802;92.257
2;2;44;4:24.275;0;;1:26.090;0;1:22.037;0;1:36.148;0;78.9;1:42:05.260;17:41:36.524;1:26.090;1:22.037;1:36.148;;Boccolacci;;Pro;;Boutsen VDS;Porsche;FCY;86.090;82.037;96.148
2;2;45;4:33.096;0;;2:27.917;0;1:21.703;0;43.476;0;76.4;1:46:38.356;17:46:09.620;2:27.917;1:21.703;0:43.476;78;Boccolacci;;Pro;;Boutsen VDS;Porsche;SC;147.917;81.703;43.476
2;2;46;2:56.839;0;;40.868;0;1:07.373;0;1:08.598;0;117.9;1:49:35.195;17:49:06.459;0:40.868;1:07.373;1:08.598;239;Boccolacci;;Pro;;Boutsen VDS;Porsche;SC;40.868;67.373;68.598
2;2;47;2:59.958;0;;1:07.002;0;55.894;0;57.062;0;115.9;1:52:35.153;17:52:06.417;1:07.002;0:55.894;0:57.062;110;Boccolacci;;Pro;;Boutsen VDS;Porsche;GF;67.002;55.894;57.062
2;2;48;1:49.549;0;;35.110;0;37.185;0;37.254;0;190.4;1:54:24.702;17:53:55.966;0:35.110;0:37.185;0:37.254;263;Boccolacci;;Pro;;Boutsen VDS;Porsche;GF;35.110;37.185;37.254
2;2;49;1:48.320;0;;34.746;0;36.746;0;36.828;0;192.5;1:56:13.022;17:55:44.286;0:34.746;0:36.746;0:36.828;265;Boccolacci;;Pro;;Boutsen VDS;Porsche;GF;34.746;36.746;36.828
2;2;50;1:48.192;0;;34.604;0;36.764;0;36.824;0;192.8;1:58:01.214;17:57:32.478;0:34.604;0:36.764;0:36.824;267;Boccolacci;;Pro;;Boutsen VDS;Porsche;GF;34.604;36.764;36.824
2;2;51;1:48.016;0;;34.629;0;36.672;0;36.715;0;193.1;1:59:49.230;17:59:20.494;0:34.629;0:36.672;0:36.715;266;Boccolacci;;Pro;;Boutsen VDS;Porsche;GF;34.629;36.672;36.715
2;2;52;1:47.764;0;;34.494;0;36.491;0;36.779;0;193.5;2:01:36.994;18:01:08.258;0:34.494;0:36.491;0:36.779;266;Boccolacci;;Pro;;Boutsen VDS;Porsche;GF;34.494;36.491;36.779
2;2;53;1:47.692;0;;34.468;0;36.600;0;36.624;0;193.7;2:03:24.686;18:02:55.950;0:34.468;0:36.600;0:36.624;266;Boccolacci;;Pro;;Boutsen VDS;Porsche;GF;34.468;36.600;36.624
2;2;54;1:47.605;0;;34.538;0;36.564;0;36.503;0;193.8;2:05:12.291;18:04:43.555;0:34.538;0:36.564;0:36.503;265;Boccolacci;;Pro;;Boutsen VDS;Porsche;GF;34.538;36.564;36.503
2;2;55;1:47.982;0;B;34.382;0;36.443;0;37.157;0;193.1;2:07:00.273;18:06:31.537;0:34.382;0:36.443;0:37.157;265;Boccolacci;;Pro;;Boutsen VDS;Porsche;GF;34.382;36.443;37.157
2;2;56;1:48.097;0;;34.500;0;37.080;0;36.517;0;192.9;2:08:48.370;18:08:19.634;0:34.500;0:37.080;0:36.517;265;Boccolacci;;Pro;;Boutsen VDS;Porsche;GF;34.500;37.080;36.517
2;2;57;1:54.197;0;;34.418;0;36.464;0;43.315;0;182.6;2:10:42.567;18:10:13.831;0:34.418;0:36.464;0:43.315;;Boccolacci;;Pro;;Boutsen VDS;Porsche;GF;34.418;36.464;43.315
2;1;58;3:03.190;0;;1:49.374;0;36.982;0;36.834;0;113.8;2:13:45.757;18:13:17.021;1:49.374;0:36.982;0:36.834;204;Schuring;;Pro;;Boutsen VDS;Porsche;GF;109.374;36.982;36.834
2;1;59;1:47.808;0;;34.406;0;36.640;0;36.762;0;193.4;2:15:33.565;18:15:04.829;0:34.406;0:36.640;0:36.762;265;Schuring;;Pro;;Boutsen VDS;Porsche;GF;34.406;36.640;36.762
2;1;60;1:47.984;0;;34.418;0;36.811;0;36.755;0;193.1;2:17:21.549;18:16:52.813;0:34.418;0:36.811;0:36.755;266;Schuring;;Pro;;Boutsen VDS;Porsche;GF;34.418;36.811;36.755
2;1;61;1:47.277;0;;34.345;0;36.398;0;36.534;0;194.4;2:19:08.826;18:18:40.090;0:34.345;0:36.398;0:36.534;265;Schuring;;Pro;;Boutsen VDS;Porsche;GF;34.345;36.398;36.534
2;1;62;1:47.189;0;;34.389;0;36.365;0;36.435;1;194.6;2:20:56.015;18:20:27.279;0:34.389;0:36.365;0:36.435;265;Schuring;;Pro;;Boutsen VDS;Porsche;GF;34.389;36.365;36.435
2;1;63;1:47.095;0;;34.364;0;36.192;0;36.539;0;194.7;2:22:43.110;18:22:14.374;0:34.364;0:36.192;0:36.539;266;Schuring;;Pro;;Boutsen VDS;Porsche;GF;34.364;36.192;36.539
2;1;64;1:47.188;0;;34.446;0;36.303;0;36.439;0;194.6;2:24:30.298;18:24:01.562;0:34.446;0:36.303;0:36.439;267;Schuring;;Pro;;Boutsen VDS;Porsche;GF;34.446;36.303;36.439
2;1;65;1:47.516;0;;34.427;0;36.445;0;36.644;0;194.0;2:26:17.814;18:25:49.078;0:34.427;0:36.445;0:36.644;267;Schuring;;Pro;;Boutsen VDS;Porsche;GF;34.427;36.445;36.644
2;1;66;1:47.026;0;;34.345;0;36.202;0;36.479;0;194.9;2:28:04.840;18:27:36.104;0:34.345;0:36.202;0:36.479;267;Schuring;;Pro;;Boutsen VDS;Porsche;GF;34.345;36.202;36.479
2;1;67;1:47.305;0;;34.348;0;36.290;0;36.667;0;194.4;2:29:52.145;18:29:23.409;0:34.348;0:36.290;0:36.667;267;Schuring;;Pro;;Boutsen VDS;Porsche;GF;34.348;36.290;36.667
2;1;68;1:47.194;0;;34.313;0;36.403;0;36.478;0;194.6;2:31:39.339;18:31:10.603;0:34.313;0:36.403;0:36.478;267;Schuring;;Pro;;Boutsen VDS;Porsche;GF;34.313;36.403;36.478
2;1;69;1:47.254;0;;34.218;0;36.542;0;36.494;0;194.4;2:33:26.593;18:32:57.857;0:34.218;0:36.542;0:36.494;268;Schuring;;Pro;;Boutsen VDS;Porsche;GF;34.218;36.542;36.494
2;1;70;1:47.330;0;;34.272;0;36.540;0;36.518;0;194.3;2:35:13.923;18:34:45.187;0:34.272;0:36.540;0:36.518;267;Schuring;;Pro;;Boutsen VDS;Porsche;GF;34.272;36.540;36.518
2;1;71;1:47.218;0;;34.255;0;36.364;0;36.599;0;194.5;2:37:01.141;18:36:32.405;0:34.255;0:36.364;0:36.599;268;Schuring;;Pro;;Boutsen VDS;Porsche;GF;34.255;36.364;36.599
2;1;72;2:41.633;0;;34.305;0;36.988;0;1:30.340;0;129.0;2:39:42.774;18:39:14.038;0:34.305;0:36.988;1:30.340;268;Schuring;;Pro;;Boutsen VDS;Porsche;FCY;34.305;36.988;90.340
2;1;73;4:20.241;0;;1:26.101;0;1:21.702;0;1:32.438;0;80.1;2:44:03.015;18:43:34.279;1:26.101;1:21.702;1:32.438;78;Schuring;;Pro;;Boutsen VDS;Porsche;FCY;86.101;81.702;92.438
2;1;74;4:14.981;0;;1:26.384;0;1:21.863;0;1:26.734;0;81.8;2:48:17.996;18:47:49.260;1:26.384;1:21.863;1:26.734;78;Schuring;;Pro;;Boutsen VDS;Porsche;SC;86.384;81.863;86.734
2;1;75;2:02.035;0;;37.703;0;39.477;0;44.855;0;170.9;2:50:20.031;18:49:51.295;0:37.703;0:39.477;0:44.855;244;Schuring;;Pro;;Boutsen VDS;Porsche;SC;37.703;39.477;44.855
2;1;76;2:47.256;0;;1:04.032;0;51.418;0;51.806;0;124.7;2:53:07.287;18:52:38.551;1:04.032;0:51.418;0:51.806;97;Schuring;;Pro;;Boutsen VDS;Porsche;GF;64.032;51.418;51.806
2;1;77;1:50.856;0;;34.839;0;38.538;0;37.479;0;188.1;2:54:58.143;18:54:29.407;0:34.839;0:38.538;0:37.479;269;Schuring;;Pro;;Boutsen VDS;Porsche;GF;34.839;38.538;37.479
2;1;78;1:56.232;0;;35.654;0;40.260;0;40.318;0;179.4;2:56:54.375;18:56:25.639;0:35.654;0:40.260;0:40.318;269;Schuring;;Pro;;Boutsen VDS;Porsche;GF;35.654;40.260;40.318
2;1;79;4:12.085;0;;1:29.491;0;1:27.786;0;1:14.808;0;82.7;3:01:06.460;19:00:37.724;1:29.491;1:27.786;1:14.808;53;Schuring;;Pro;;Boutsen VDS;Porsche;GF;89.491;87.786;74.808
3;1;1;2:25.951;1;;39.974;1;38.875;1;1:07.102;1;142.9;2:25.951;16:01:57.215;0:39.974;0:38.875;1:07.102;227;Juncadella;;Pro;;Mercedes-AMG Team Verstappen Racing;Mercedes-AMG;SC;39.974;38.875;67.102
3;1;2;4:22.363;0;;1:45.999;0;1:19.341;0;1:17.023;0;79.5;6:48.314;16:06:19.578;1:45.999;1:19.341;1:17.023;41;Juncadella;;Pro;;Mercedes-AMG Team Verstappen Racing;Mercedes-AMG;SC;105.999;79.341;77.023
3;1;3;3:25.816;0;;1:25.203;0;1:00.322;0;1:00.291;1;101.3;10:14.130;16:09:45.394;1:25.203;1:00.322;1:00.291;84;Juncadella;;Pro;;Mercedes-AMG Team Verstappen Racing;Mercedes-AMG;SC;85.203;60.322;60.291
3;1;4;2:52.742;0;;1:06.978;0;53.039;0;52.725;1;120.7;13:06.872;16:12:38.136;1:06.978;0:53.039;0:52.725;113;Juncadella;;Pro;;Mercedes-AMG Team Verstappen Racing;Mercedes-AMG;SC;66.978;53.039;52.725
3;1;5;2:39.519;0;;50.056;0;50.245;0;59.218;0;130.7;15:46.391;16:15:17.655;0:50.056;0:50.245;0:59.218;148;Juncadella;;Pro;;Mercedes-AMG Team Verstappen Racing;Mercedes-AMG;SC;50.056;50.245;59.218
3;1;6;2:50.447;0;;59.615;0;57.316;0;53.516;0;122.4;18:36.838;16:18:08.102;0:59.615;0:57.316;0:53.516;120;Juncadella;;Pro;;Mercedes-AMG Team Verstappen Racing;Mercedes-AMG;GF;59.615;57.316;53.516
3;1;7;1:49.964;1;;35.114;1;37.393;1;37.457;1;189.7;20:26.802;16:19:58.066;0:35.114;0:37.393;0:37.457;260;Juncadella;;Pro;;Mercedes-AMG Team Verstappen Racing;Mercedes-AMG;GF;35.114;37.393;37.457
3;1;8;1:49.093;1;;34.772;1;37.091;1;37.230;1;191.2;22:15.895;16:21:47.159;0:34.772;0:37.091;0:37.230;263;Juncadella;;Pro;;Mercedes-AMG Team Verstappen Racing;Mercedes-AMG;GF;34.772;37.091;37.230
3;1;9;1:48.617;1;;34.717;1;36.808;1;37.092;1;192.0;24:04.512;16:23:35.776;0:34.717;0:36.808;0:37.092;264;Juncadella;;Pro;;Mercedes-AMG Team Verstappen Racing;Mercedes-AMG;GF;34.717;36.808;37.092
3;1;10;1:48.351;1;;34.526;1;36.748;1;37.077;1;192.5;25:52.863;16:25:24.127;0:34.526;0:36.748;0:37.077;262;Juncadella;;Pro;;Mercedes-AMG Team Verstappen Racing;Mercedes-AMG;GF;34.526;36.748;37.077
3;1;11;1:48.078;1;;34.447;1;36.694;1;36.937;1;193.0;27:40.941;16:27:12.205;0:34.447;0:36.694;0:36.937;263;Juncadella;;Pro;;Mercedes-AMG Team Verstappen Racing;Mercedes-AMG;GF;34.447;36.694;36.937
3;1;12;1:48.093;0;;34.297;1;36.809;0;36.987;0;192.9;29:29.034;16:29:00.298;0:34.297;0:36.809;0:36.987;263;Juncadella;;Pro;;Mercedes-AMG Team Verstappen Racing;Mercedes-AMG;GF;34.297;36.809;36.987
3;1;13;1:47.988;1;;34.492;0;36.677;1;36.819;1;193.1;31:17.022;16:30:48.286;0:34.492;0:36.677;0:36.819;263;Juncadella;;Pro;;Mercedes-AMG Team Verstappen Racing;Mercedes-AMG;GF;34.492;36.677;36.819
3;1;14;1:47.879;1;;34.384;0;36.695;0;36.800;1;193.3;33:04.901;16:32:36.165;0:34.384;0:36.695;0:36.800;264;Juncadella;;Pro;;Mercedes-AMG Team Verstappen Racing;Mercedes-AMG;GF;34.384;36.695;36.800
3;1;15;1:47.689;1;;34.347;0;36.586;1;36.756;1;193.7;34:52.590;16:34:23.854;0:34.347;0:36.586;0:36.756;262;Juncadella;;Pro;;Mercedes-AMG Team Verstappen Racing;Mercedes-AMG;GF;34.347;36.586;36.756
3;1;16;1:47.801;0;;34.375;0;36.627;0;36.799;0;193.5;36:40.391;16:36:11.655;0:34.375;0:36.627;0:36.799;265;Juncadella;;Pro;;Mercedes-AMG Team Verstappen Racing;Mercedes-AMG;GF;34.375;36.627;36.799
3;1;17;1:47.987;0;;34.387;0;36.865;0;36.735;1;193.1;38:28.378;16:37:59.642;0:34.387;0:36.865;0:36.735;263;Juncadella;;Pro;;Mercedes-AMG Team Verstappen Racing;Mercedes-AMG;GF;34.387;36.865;36.735
3;1;18;1:47.836;0;;34.480;0;36.604;0;36.752;0;193.4;40:16.214;16:39:47.478;0:34.480;0:36.604;0:36.752;262;Juncadella;;Pro;;Mercedes-AMG Team Verstappen Racing;Mercedes-AMG;GF;34.480;36.604;36.752
3;1;19;1:47.578;1;;34.365;0;36.460;1;36.753;0;193.9;42:03.792;16:41:35.056;0:34.365;0:36.460;0:36.753;264;Juncadella;;Pro;;Mercedes-AMG Team Verstappen Racing;Mercedes-AMG;GF;34.365;36.460;36.753
3;1;20;1:47.528;1;;34.278;1;36.581;0;36.669;1;193.9;43:51.320;16:43:22.584;0:34.278;0:36.581;0:36.669;263;Juncadella;;Pro;;Mercedes-AMG Team Verstappen Racing;Mercedes-AMG;GF;34.278;36.581;36.669
3;1;21;1:47.640;0;;34.558;0;36.527;0;36.555;1;193.7;45:38.960;16:45:10.224;0:34.558;0:36.527;0:36.555;263;Juncadella;;Pro;;Mercedes-AMG Team Verstappen Racing;Mercedes-AMG;GF;34.558;36.527;36.555
3;1;22;1:47.606;0;;34.447;0;36.466;0;36.693;0;193.8;47:26.566;16:46:57.830;0:34.447;0:36.466;0:36.693;262;Juncadella;;Pro;;Mercedes-AMG Team Verstappen Racing;Mercedes-AMG;GF;34.447;36.466;36.693
3;1;23;1:54.492;0;;34.364;0;36.748;0;43.380;0;182.2;49:21.058;16:48:52.322;0:34.364;0:36.748;0:43.380;;Juncadella;;Pro;;Mercedes-AMG Team Verstappen Racing;Mercedes-AMG;GF;34.364;36.748;43.380
3;2;24;9:32.911;0;;6:39.375;0;1:21.478;0;1:32.058;0;36.4;58:53.969;16:58:25.233;6:39.375;1:21.478;1:32.058;79;Lulham;;Pro;;Mercedes-AMG Team Verstappen Racing;Mercedes-AMG;FCY;399.375;81.478;92.058
3;2;25;4:19.930;0;B;1:26.198;0;1:21.751;0;1:31.981;0;80.2;1:03:13.899;17:02:45.163;1:26.198;1:21.751;1:31.981;79;Lulham;;Pro;;Mercedes-AMG Team Verstappen Racing;Mercedes-AMG;GF;86.198;81.751;91.981
3;2;26;2:59.272;0;;1:26.189;0;46.039;0;47.044;0;116.3;1:06:13.171;17:05:44.435;1:26.189;0:46.039;0:47.044;;Lulham;;Pro;;Mercedes-AMG Team Verstappen Racing;Mercedes-AMG;SC;86.189;46.039;47.044
3;2;27;3:05.510;0;;1:50.251;0;38.092;0;37.167;0;112.4;1:09:18.681;17:08:49.945;1:50.251;0:38.092;0:37.167;201;Lulham;;Pro;;Mercedes-AMG Team Verstappen Racing;Mercedes-AMG;GF;110.251;38.092;37.167
3;2;28;1:48.423;0;;34.523;0;36.940;0;36.960;0;192.3;1:11:07.104;17:10:38.368;0:34.523;0:36.940;0:36.960;263;Lulham;;Pro;;Mercedes-AMG Team Verstappen Racing;Mercedes-AMG;GF;34.523;36.940;36.960
3;2;29;1:47.807;0;;34.358;0;36.596;0;36.853;0;193.4;1:12:54.911;17:12:26.175;0:34.358;0:36.596;0:36.853;265;Lulham;;Pro;;Mercedes-AMG Team Verstappen Racing;Mercedes-AMG;GF;34.358;36.596;36.853
3;2;30;1:50.326;0;B;35.394;0;37.137;0;37.795;0;189.0;1:14:45.237;17:14:16.501;0:35.394;0:37.137;0:37.795;259;Lulham;;Pro;;Mercedes-AMG Team Verstappen Racing;Mercedes-AMG;GF;35.394;37.137;37.795
3;2;31;1:47.633;0;;34.486;0;36.508;0;36.639;0;193.8;1:16:32.870;17:16:04.134;0:34.486;0:36.508;0:36.639;266;Lulham;;Pro;;Mercedes-AMG Team Verstappen Racing;Mercedes-AMG;GF;34.486;36.508;36.639
4;3;1;2:56.111;1;;46.325;1;50.070;1;1:19.716;1;118.4;2:56.111;16:02:27.375;0:46.325;0:50.070;1:19.716;179;George;;Gold;;Optimum Motorsport;McLaren;SC;46.325;50.070;79.716
4;3;2;4:31.644;0;;1:48.532;0;1:20.192;0;1:22.920;0;76.8;7:27.755;16:06:59.019;1:48.532;1:20.192;1:22.920;;George;;Gold;;Optimum Motorsport;McLaren;SC;108.532;80.192;82.920
4;3;3;129:35.625;0;B;128:18.492;0;39.066;1;38.067;1;2.7;2:17:03.380;18:16:34.644;128:18.492;0:39.066;0:38.067;201;George;;Gold;;Optimum Motorsport;McLaren;GF;7698.492;39.066;38.067
4;3;4;1:52.338;1;;36.750;1;37.728;1;37.860;1;185.6;2:18:55.718;18:18:26.982;0:36.750;0:37.728;0:37.860;217;George;;Gold;;Optimum Motorsport;McLaren;GF;36.750;37.728;37.860
