POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
27;98;Classified;107;4:01:59.561;3 Laps;+0.575;63;2:00.818;170.7;Bryan Herta Autosport;TCR;;;Hyundai Veloster N TCR;M;591;255;22;76;7660;3;;6218;;;Michael;Lewis;Gold;Alamo, CA;;;730;2;Gold;;;Mason;Filippi;Silver;Alamo, CA;;;1829;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;33;Classified;107;4:02:02.987;3 Laps;+3.426;8;2:00.449;171.2;Bryan Herta Autosport w/ Curb Agajanian;TCR;;;Hyundai Veloster N TCR;M;806;255;22;76;7660;3;;6992;;;Gabby;Chaves;Gold;Chagrin Falls, OH;;;600;1;Gold;;;Ryan;Norman;Silver;Chagrin Falls, OH;;;1927;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;21;Classified;107;4:02:06.143;3 Laps;+3.156;62;2:00.583;171.0;Bryan Herta Autosport w/ Curb Agajanian;TCR;;;Hyundai Veloster N TCR;M;592;255;22;76;7660;3;;6229;;;Mark;Wilkins;Gold;San Antonio, TX;;;317;4;Gold;;;Harry;Gottsacker;Silver;San Antonio, TX;;;1456;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;81;Classified;106;4:02:03.929;4 Laps;1 Lap;61;2:00.999;170.5;TWOth Autosport / Bestline AutoTech;TCR;;;Audi RS3 LMS TCR;M;812;315;22;84;909;3;;6997;;;Ron;Tomlinson;Bronze;;;;2047;3;Bronze;;;Travis;Hill;;;;;2049;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;73;Classified;105;4:02:07.691;5 Laps;1 Lap;62;2:00.004;171.9;LA Honda World Racing;TCR;;;Honda Civic TCR;M;631;262;22;77;2081;3;;6662;;;Mike;LaMarra;;Johns Creek, Ga;;;473;3;;;;Mathew;Pombo;;Johns Creek, Ga;;;529;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;74;Classified;105;4:02:09.091;5 Laps;+1.400;6;2:01.579;169.6;Forty7 Motorsports;TCR;;;Hyundai Veloster N TCR;M;787;193;22;76;7660;3;;6793;;;AJ;Muss;;Denver, CO;;;1929;1;;;;Ben;Waddell;Silver;Denver, CO;;;1659;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;19;Classified;104;3:44:00.138;6 Laps;1 Lap;83;1:56.102;177.6;Multimatic Motorsports Inc.;GS;;;Ford Mustang GT4;M;800;78;5;54;107;3;;7003;;;Marco;Signoretti;Silver;Toronto, ON;;;2010;2;Silver;;;Scott;Maxwell;Bronze;Toronto, ON;;;433;3;Bronze;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;84;Classified;104;4:02:05.514;6 Laps;+18:05.376;87;2:01.346;170.0;Atlanta Speedwerks;TCR;;;Honda Civic TCR;M;598;259;22;77;2081;3;;7010;;;Brian;Henderson;;Gainesville, GA;;;1806;1;;;;Todd;Lamb;Bronze;Gainesville, GA;;;1805;2;Bronze;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;23;Classified;102;4:02:02.206;8 Laps;2 Laps;62;2:00.112;171.7;Speed Syndicate Motorsports;TCR;;;Audi RS3 LMS TCR;M;811;314;22;84;909;3;;6996;;;Max;Faulkner;;Toronto;;;1595;1;;;;James;Vance;;Toronto;;;486;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;77;Classified;102;4:02:10.649;8 Laps;+8.443;45;2:02.024;169.0;L.A. Honda World Racing;TCR;;;Honda Civic TCR;M;774;262;22;77;2081;3;;7007;;;Ryan;Eversley;Gold;San Antonio, TX;;;501;2;Gold;;;Taylor;Hagler;Bronze;San Antonio, TX;;;1921;3;Bronze;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;65;Classified;99;4:01:48.022;11 Laps;3 Laps;90;1:56.023;177.8;Murillo Racing;GS;;;Mercedes-AMG GT GT4;M;766;212;5;89;7643;3;;6573;;;Tim;Probert;Bronze;Lafayette, Louisiana;;;491;1;Bronze;;;Brent;Mosing;;Lafayette, Louisiana;;;492;2;;;;Justin;Piscitell;Silver;Wingdale NY;;;493;4;Silver;;;;;;;;;;;;;;;;;;;;;
38;13;Classified;98;4:01:22.946;12 Laps;1 Lap;42;1:54.871;179.6;AWA;GS;;;McLaren 570S GT4;M;757;217;5;88;7651;3;;6415;;;Orey;Fidani;;Montreal;;;973;3;;;;Kuno;Wittmer;Gold;Montreal;;;237;2;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;59;Classified;96;3:39:33.133;14 Laps;2 Laps;4;1:58.277;174.4;KOHRTEX MOTORSPORTS;GS;;;Ford Mustang GT4;M;290;161;5;54;107;3;;7011;;;Rich;Golinello;Bronze;Seal Beach, CA;;;522;4;Bronze;;;Bob;Michaelian;Bronze;Seal Beach, CA;;;417;2;Bronze;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;5;Classified;92;4:02:01.032;18 Laps;4 Laps;78;2:01.140;170.3;KMW Motorsports with TMR Engineering;TCR;;;Alfa Romeo Giulietta TCR;M;620;265;22;70;7658;3;;6640;;;Roy;Block;;Boca Raton, FL;;;1077;3;;;;Tim;Lewis;;Boca Raton, FL;;;1995;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;18;Classified;88;3:23:14.743;22 Laps;4 Laps;87;2:00.334;171.4;TEAM PREMAT;TCR;;;Audi RS3 LMS TCR;M;762;292;22;84;909;3;;6536;;;Stephen;Vajda;;Henderson;;;1942;1;;;;Alexandre;Premat;Gold;Henderson;;;1094;2;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;95;Classified;88;3:33:51.329;22 Laps;+10:36.586;19;1:55.267;178.9;Turner Motorsport;GS;;;BMW M4 GT4;M;760;38;5;68;74;3;;6495;;;Aurora;Straus;Silver;Nyack, NY;;;1222;1;Silver;;;Connor;Bloum;Silver;San Diego, CA;;;471;2;Silver;;;Billy;Johnson;Gold;Torrance, CA;;;365;3;Gold;;;;;;;;;;;;;;;;;;;;;
43;22;Classified;86;4:02:51.746;24 Laps;2 Laps;64;1:55.918;177.9;Multimatic Motorsports Inc.;GS;;;Ford Mustang GT4;M;476;78;5;54;107;3;;6804;;;Hailie;Deegan;;Mitchell, IN;;;2025;1;;;;Chase;Briscoe;;Mitchell, IN;;;1614;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;94;Classified;79;3:22:05.202;31 Laps;7 Laps;50;2:00.877;170.6;Atlanta Speedwerks;TCR;;;Honda Civic TCR;M;599;259;22;77;2081;3;;7012;;;Nikko;Reger;Silver;Bayamon, Puerto Rico;;;1776;3;Silver;;;Bryan;Ortiz;Silver;Bayamon, Puerto Rico;;;796;4;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;15;Classified;78;2:51:14.188;32 Laps;1 Lap;45;1:55.563;178.5;Multimatic Motorsports Inc.;GS;;;Ford Mustang GT4;M;283;78;5;54;107;3;;7004;;;Austin;Cindric;Silver;Guernsey;;;878;1;Silver;;;Seb;Priaulx;;Guernsey;;;1913;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;96;Classified;70;3:00:19.666;40 Laps;8 Laps;47;1:55.522;178.5;Turner Motorsport;GS;;;BMW M4 GT4;M;610;38;5;68;74;3;;6506;;;Bill;Auberlen;Gold;Randolph, NJ;;;1991;1;Gold;;;Robby;Foley;Silver;Randolph, NJ;;;1302;2;Silver;;;Vincent;Barletta;;Canton, MA;;;1894;3;;;;;;;;;;;;;;;;;;;;;;
47;47;Classified;63;3:01:25.050;47 Laps;7 Laps;62;2:01.558;169.7;Forty7 Motorsports;TCR;;;Hyundai Veloster N TCR;M;786;193;22;76;7660;3;;6783;;;Dario;Cangialosi;Silver;Houston, TX;;;2018;1;Silver;;;Alex;Papadopulos;;Houston, TX;;;1834;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;89;Classified;57;2:27:14.285;53 Laps;6 Laps;43;2:02.019;169.0;HART;TCR;;;Honda Civic TCR;M;582;76;22;77;2081;3;;6685;;;Chad;Gilsinger;Bronze;Raymond, OH;;;517;1;Bronze;;;Steve;Eich;Bronze;Raymond, OH;;;516;2;Bronze;;;Cameron;Lawrence;Silver;Windermere, FL;;;446;3;Silver;;;;;;;;;;;;;;;;;;;;;
49;46;Classified;46;2:32:49.903;64 Laps;11 Laps;3;1:55.108;179.2;TGM Racing LLC;GS;;;Chevrolet Camaro GT4.R;M;751;221;5;63;105;3;;6329;;;Hugh;Plumb;Silver;Chadds Ford, PA;;;421;3;Silver;;;Matt;Plumb;Silver;Chadds Ford, PA;;;429;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;2;Classified;34;1:10:46.954;76 Laps;12 Laps;7;1:55.589;178.4;Ave Motorsports;GS;;;Audi R8 GT4;M;817;163;5;86;909;3;;7014;;;Mike;Skeen;Silver;;;;830;3;Silver;;;Mark;Brummond;Bronze;;;;1747;1;Bronze;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;37;Classified;30;1:06:51.357;80 Laps;4 Laps;6;2:02.815;167.9;LA Honda World Racing;TCR;;;Honda Civic TCR;M;608;262;22;77;2081;3;;6651;;;Shelby;Blackstock;Silver;Minneapolis, MN;;;249;1;Silver;;;Chris;Miller;Silver;Minneapolis, MN;;;265;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
