POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
29;27;4;2:00.350;+7.577;+0.060;171.4;8;COPELAND MOTORSPORTS;TCR;;;Hyundai Veloster N TCR;M;898;329;22;76;7660;3;;10206;;;Tyler;Maxson;;Bogart, GA;;;2151;1;;;;Tyler;Gonzalez;;St. Cloud, FL;;;2164;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;51;6;2:00.670;+7.897;+0.320;170.9;8;COPELAND MOTORSPORTS;TCR;;;Hyundai Veloster N TCR;M;958;329;22;76;7660;3;;10209;;;Mason;Filippi;;Alamo, CA;;;2228;1;;;;AJ;Muss;;Rumson, NJ;;;1929;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;15;7;2:00.872;+8.099;+0.202;170.6;9;Rockwell Autosport Development;TCR;;;Audi RS3 LMS DSG;M;1059;359;22;94;909;3;;10256;;;Mike;Moore;;Asheboro, NC;;;2467;3;;;;Nelson;Canache;;Caracas, Venezuela;;;321;1;;;;Alex;Rockwell;;Colts Neck, NJ;;;2403;2;;;;;;;;;;;;;;;;;;;;;;
32;33;6;2:01.093;+8.320;+0.221;170.3;8;Bryan Herta Autosport w/ Curb-Agajanian;TCR;;;Hyundai Elantra N TCR;M;952;255;22;98;7660;3;;10202;;;Harry;Gottsacker;;San Antonio, TX;;;1456;3;;;;Mark;Wilkins;;Mulmur, ON;;;317;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;77;7;2:01.200;+8.427;+0.107;170.2;8;Bryan Herta Autosport w/ Curb-Agajanian;TCR;;;Hyundai Veloster N TCR;M;954;255;22;76;7660;3;;10204;;;Taylor;Hagler;;San Antonio, TX;;;1921;1;;;;Michael;Lewis;;Laguna Beach, CA;;;730;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;94;6;2:01.577;+8.804;+0.377;169.6;8;Atlanta Speedwerks;TCR;;;Honda Civic FK7 TCR;M;978;259;22;97;2081;3;;10243;;;Greg;Strelzoff;;Marina del Rey, CA;;;470;4;;;;Ryan;Eversley;;Atlanta, GA;;;501;2;;;;Todd;Lamb;;Atlanta, GA;;;1805;5;;;;;;;;;;;;;;;;;;;;;;
35;81;6;2:01.710;+8.937;+0.133;169.5;7;CB Motorsports;TCR;;;Hyundai Veloster N TCR;M;971;351;22;76;7660;3;;10233;;;Caleb;Bacon;;Mooresville, NC;;;2437;5;;;;Mark;Kvamme;;Columbus, OH;;;2422;2;;;;Trenton;Estep;;San Antonio, TX;;;1353;3;;;;;;;;;;;;;;;;;;;;;;
36;64;4;2:01.998;+9.225;+0.288;169.1;7;TeamTGM;GS;;;Chevrolet Camaro GT4.R;M;920;79;5;63;105;3;;10168;;;Ted;Giovanis;;Highland, MD;;;489;1;;;;Owen;Trinkler;;Nashville,TN;;;519;5;;;;Hugh;Plumb;;Unionville, PA;;;421;3;;;;;;;;;;;;;;;;;;;;;;
37;54;6;2:02.827;+10.054;+0.829;167.9;8;Michael Johnson Racing;TCR;;;Hyundai Veloster N TCR;M;955;255;22;76;7660;3;;10205;;;Michael;Johnson;;Mount Morris, MI;;;261;1;;;;Stephen;Simpson;;Cape Town, South Africa;;;765;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;7;0;;;;;0;VOLT Racing with Archangel;GS;;;Aston Martin Vantage GT4;M;964;345;5;56;73;3;;10220;;;Alan;Brynjolfsson;;Tampa, FL;;;1271;1;;;;Trent;Hindman;;Ocean Township, NJ;;;244;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;16;0;;;;;0;Wright Motorsports;GS;;;Porsche 718 Cayman GT4 Clubsport;M;972;111;5;78;112;3;;10234;;;Ryan;Hardwick;;Atlanta, GA;;;1256;1;;;;Jan;Heylen;;Dunedin, FL;;;184;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;61;0;;;;;0;Road Shagger Racing;TCR;;;Audi RS3 LMS DSG;M;957;342;22;94;909;3;;10208;;;Gavin;Ernstone;;Las Vegas, NV;;;1652;1;;;;Jon;Morley;;San Francisco, CA;;;2405;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;85;0;;;;;0;AOA Racing;TCR;;;Audi RS3 LMS DSG;M;1076;330;22;94;909;3;;10280;;;Gino;Manley;;Fernandina Beach, FL;;;2133;1;;;;Andrew;Pinkerton;;Birmingham, AL;;;2144;4;;;;Patrick;Wilmot;;Roswell, GA;;;1746;3;;;;;;;;;;;;;;;;;;;;;;
42;98;0;;;;;0;Bryan Herta Autosport w/ Curb-Agajanian;TCR;;;Hyundai Elantra N TCR;M;953;255;22;98;7660;3;;10203;;;Parker;Chase;;New Braunfels, TX;;;1137;1;;;;Ryan;Norman;;Estero, FL;;;2231;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
