POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
30;26;Classified;94;4:00:43.606;7 Laps;2 Laps;9;1:55.515;178.5;Classic BMW / Fast Track Racing;GS;;;BMW M4 GT4;M;480;216;5;68;74;3;;4754;;;Jayson;Clunie;;Prince Albert, Saskatchewan;;;1202;4;;;;Toby;Grahovec;;Celina, TX;;;1540;3;;;;Kyle;Reid;;Aberdeen, United Kingdom;;;1766;1;;;;;;;;;;;;;;;;;;;;;;
31;57;Classified;92;3:41:15.336;9 Laps;2 Laps;3;1:53.645;181.5;Winward Racing / HTP Motorsport;GS;;;Mercedes-AMG;M;474;205;5;69;7643;3;;4732;;;Bryce;Ward;;Seabrook, TX;;;1249;3;;;;Christian;Hohenadel;;Quierschied, Germany;;;1729;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;60;Classified;92;3:41:16.173;9 Laps;+0.837;87;1:53.626;181.5;KohR Motorsports;GS;;;Ford Mustang GT4;M;353;161;5;54;107;3;;4734;;;Nate;Stacy;;Owasso, OK;;;1515;3;;;;Kyle;Marcelli;;Toronto, Ontario;;;88;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;12;Classified;91;3:58:36.338;10 Laps;1 Lap;12;2:00.477;171.2;eEuroparts.com ROWE Racing;TCR;;;Audi RS3 LMS TCR;M;528;203;22;67;909;3;;4735;;;Russell;McDonough;;Little Rock, AR;;;1802;2;;;;Ryan;Nash;;Montebello, NY;;;1803;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;52;Classified;86;3:31:09.029;15 Laps;5 Laps;22;2:00.645;171.0;LA Honda World Racing;TCR;;;Honda Civic TCR;M;609;262;22;77;2081;3;;4744;;;Colin;Mullan;;Danville, CA;;;1681;5;;;;Max;Faulkner;;DO NOT PUBLISH;;;1595;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;13;Classified;86;4:01:24.882;15 Laps;+30:15.853;75;1:54.147;180.7;AWA;GS;;;Porsche 718 Cayman GT4 Clubsport;M;581;217;5;78;112;3;;4740;;;Scott;Hargrove;;Tsawwassen, British Columbia;;;275;1;;;;Orey;Fidani;;Toronto, Ontario;;;973;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;3;Classified;83;3:24:29.422;18 Laps;3 Laps;13;1:59.741;172.2;KMW Motorsports with TMR Engineering;TCR;;;Alfa Romeo Giulietta TCR;M;626;265;22;70;7658;3;;4758;;;Alex;Popow;;Weston, FL;;;97;2;;;;Alexandre;Papadopulos;;Missouri City, TX;;;1834;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;35;Classified;78;3:12:55.019;23 Laps;5 Laps;40;1:53.505;181.7;Riley Motorsports;GS;;;Mercedes-AMG;M;593;147;5;69;7643;3;;4738;;;James;Cox;;Nokomis, FL;;;1248;1;;;;Jeroen;Bleekemolen;;Monaco, Netherlands;;;186;2;;;;Dylan;Murry;;Cumming, GA;;;1571;3;;;;;;;;;;;;;;;;;;;;;;
38;98;Classified;76;3:42:27.546;25 Laps;2 Laps;37;2:00.160;171.6;BRYAN HERTA AUTOSPORT W/ CURB-AGAJANIAN;TCR;;;Hyundai Veloster N TCR;M;591;255;22;76;7660;3;;4716;;;Mark;Wilkins;;Mulmur, Ontario;;;317;3;;;;Michael;Lewis;;Laguna Beach, CA;;;730;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;80;Classified;69;4:00:37.542;32 Laps;7 Laps;57;1:54.847;179.6;BimmerWorld Racing;GS;;;BMW M4 GT4;M;627;73;5;68;74;3;;4764;;;Aurora;Straus;;Cold Spring, NY;;;1222;1;;;;Kaz;Grala;;Boston, MA;;;420;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
