NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;
61;1;3;1:46.273;0;;22.626;0;44.584;0;39.063;2;166.3;9:25.104;14:09;0:22.626;0:44.584;0:39.063;256.5;Marco Cioci;
61;1;4;1:46.157;0;;22.416;0;44.594;0;39.147;0;166.5;11:11.261;14:11;0:22.416;0:44.594;0:39.147;259.6;Marco Cioci;
61;1;5;1:46.286;0;;22.455;0;44.444;2;39.387;0;166.3;12:57.547;14:12;0:22.455;0:44.444;0:39.387;257.8;Marco Cioci;
61;1;6;1:45.906;2;;22.310;2;44.528;0;39.068;0;166.9;14:43.453;14:14;0:22.310;0:44.528;0:39.068;257.8;Marco Cioci;
61;1;7;2:10.405;0;;26.099;0;58.133;0;46.173;0;135.5;16:53.858;14:16;0:26.099;0:58.133;0:46.173;217.7;Marco Cioci;
62;2;1;3:07.764;0;;1:38.594;0;48.150;0;41.020;0;94.1;3:07.764;14:03;1:38.594;0:48.150;0:41.020;163.9;Roger Wills;
62;2;2;1:48.909;0;;23.296;0;45.623;0;39.990;0;162.3;4:56.673;14:04;0:23.296;0:45.623;0:39.990;252.9;Roger Wills;
62;2;3;1:48.819;0;;22.749;0;45.596;0;40.474;0;162.4;6:45.492;14:06;0:22.749;0:45.596;0:40.474;257.1;Roger Wills;
62;2;4;1:48.176;2;;22.783;0;45.686;0;39.707;0;163.4;8:33.668;14:08;0:22.783;0:45.686;0:39.707;259.0;Roger Wills;
62;2;5;1:48.238;0;;22.553;2;45.646;0;40.039;0;163.3;10:21.906;14:10;0:22.553;0:45.646;0:40.039;259.6;Roger Wills;
62;2;6;1:48.298;0;;22.874;0;45.542;2;39.882;0;163.2;12:10.204;14:12;0:22.874;0:45.542;0:39.882;260.2;Roger Wills;
62;2;7;1:51.025;0;;23.052;0;45.998;0;41.975;0;159.2;14:01.229;14:14;0:23.052;0:45.998;0:41.975;256.5;Roger Wills;
62;2;8;1:48.662;0;;22.978;0;45.945;0;39.739;0;162.6;15:49.891;14:15;0:22.978;0:45.945;0:39.739;255.9;Roger Wills;
62;2;9;1:56.871;0;;25.068;0;50.992;0;40.811;0;151.2;17:46.762;14:17;0:25.068;0:50.992;0:40.811;222.7;Roger Wills;
62;2;10;1:48.622;0;;23.034;0;45.955;0;39.633;2;162.7;19:35.384;14:19;0:23.034;0:45.955;0:39.633;259.0;Roger Wills;
63;0;1;5:27.507;0;;4:02.060;0;46.165;0;39.282;0;54.0;5:27.507;14:05;4:02.060;0:46.165;0:39.282;169.0;Patrick Long;
63;0;2;1:46.114;0;;22.310;0;44.912;0;38.892;0;166.5;7:13.621;14:07;0:22.310;0:44.912;0:38.892;260.2;Patrick Long;
63;0;3;1:45.650;2;;22.092;2;44.701;0;38.857;2;167.3;8:59.271;14:08;0:22.092;0:44.701;0:38.857;260.9;Patrick Long;
63;0;4;1:46.247;0;;22.258;0;44.646;2;39.343;0;166.3;10:45.518;14:10;0:22.258;0:44.646;0:39.343;261.5;Patrick Long;
64;2;1;6:26.413;0;;4:52.598;0;50.919;0;42.896;0;45.7;6:26.413;14:06;4:52.598;0:50.919;0:42.896;161.2;Lukas Lichtner-Hoyer;
64;2;2;1:51.158;0;;23.402;0;47.228;0;40.528;0;159.0;8:17.571;14:08;0:23.402;0:47.228;0:40.528;256.5;Lukas Lichtner-Hoyer;
64;2;3;1:50.921;0;;23.082;0;47.005;0;40.834;0;159.3;10:08.492;14:10;0:23.082;0:47.005;0:40.834;255.9;Lukas Lichtner-Hoyer;
64;2;4;1:50.053;2;;22.956;2;46.635;2;40.462;2;160.6;11:58.545;14:11;0:22.956;0:46.635;0:40.462;256.5;Lukas Lichtner-Hoyer;
64;2;5;2:03.917;0;;26.271;0;51.147;0;46.499;0;142.6;14:02.462;14:14;0:26.271;0:51.147;0:46.499;257.1;Lukas Lichtner-Hoyer;
64;2;6;1:51.006;0;;23.063;0;47.097;0;40.846;0;159.2;15:53.468;14:15;0:23.063;0:47.097;0:40.846;259.6;Lukas Lichtner-Hoyer;
65;2;1;2:52.416;0;;1:23.336;0;48.459;0;40.621;0;102.5;2:52.416;14:02;1:23.336;0:48.459;0:40.621;139.4;Jonathan Hirschi;
65;2;2;1:49.726;0;;23.036;0;46.486;0;40.204;0;161.1;4:42.142;14:04;0:23.036;0:46.486;0:40.204;252.3;Jonathan Hirschi;
65;2;3;1:52.590;0;;24.246;0;48.296;0;40.048;0;157.0;6:34.732;14:06;0:24.246;0:48.296;0:40.048;253.5;Jonathan Hirschi;
65;2;4;1:56.963;0;;24.720;0;50.862;0;41.381;0;151.1;8:31.695;14:08;0:24.720;0:50.862;0:41.381;256.5;Jonathan Hirschi;
65;2;5;1:49.247;0;;22.837;0;46.420;0;39.990;2;161.8;10:20.942;14:10;0:22.837;0:46.420;0:39.990;254.7;Jonathan Hirschi;
65;2;6;3:51.056;0;B;22.879;0;46.570;0;2:41.607;0;76.5;14:11.998;14:14;0:22.879;0:46.570;2:41.607;255.3;Jonathan Hirschi;
65;2;7;2:10.584;0;;40.728;0;49.664;0;40.192;0;135.3;16:22.582;14:16;0:40.728;0:49.664;0:40.192;173.1;Jonathan Hirschi;
65;2;8;1:49.138;0;;22.879;0;46.212;0;40.047;0;161.9;18:11.720;14:18;0:22.879;0:46.212;0:40.047;254.7;Jonathan Hirschi;
65;2;9;1:49.037;2;;22.810;2;46.066;2;40.161;0;162.1;20:00.757;14:20;0:22.810;0:46.066;0:40.161;253.5;Jonathan Hirschi;
66;0;1;10:14.250;0;;8:46.591;0;46.358;0;41.301;0;28.8;10:14.250;14:10;8:46.591;0:46.358;0:41.301;173.6;Rob Bell;
66;0;2;1:45.771;0;;22.533;0;44.202;0;39.036;0;167.1;12:00.021;14:12;0:22.533;0:44.202;0:39.036;252.3;Rob Bell;
66;0;3;1:45.258;0;;22.555;0;44.014;0;38.689;0;167.9;13:45.279;14:13;0:22.555;0:44.014;0:38.689;254.1;Rob Bell;
66;0;4;1:45.314;0;;22.332;0;44.151;0;38.831;0;167.8;15:30.593;14:15;0:22.332;0:44.151;0:38.831;254.7;Rob Bell;
66;0;5;1:44.730;2;;22.216;2;43.967;2;38.547;2;168.7;17:15.323;14:17;0:22.216;0:43.967;0:38.547;255.3;Rob Bell;
66;0;6;2:12.190;0;B;22.233;0;47.743;0;1:02.214;0;133.7;19:27.513;14:19;0:22.233;0:47.743;1:02.214;256.5;Rob Bell;
67;0;1;2:14.609;0;;43.845;0;46.651;0;44.113;0;131.3;2:14.609;14:02;0:43.845;0:46.651;0:44.113;169.0;Nicolas Armindo;
67;0;2;1:46.510;0;;22.536;0;45.026;0;38.948;2;165.9;4:01.119;14:04;0:22.536;0:45.026;0:38.948;261.5;Nicolas Armindo;
67;0;3;1:46.283;2;;22.201;2;44.882;0;39.200;0;166.3;5:47.402;14:05;0:22.201;0:44.882;0:39.200;262.1;Nicolas Armindo;
67;0;4;1:46.407;0;;22.443;0;44.767;2;39.197;0;166.1;7:33.809;14:07;0:22.443;0:44.767;0:39.197;262.8;Nicolas Armindo;
67;0;5;1:50.773;0;;22.272;0;47.868;0;40.633;0;159.5;9:24.582;14:09;0:22.272;0:47.868;0:40.633;262.8;Nicolas Armindo;
67;0;6;2:18.956;0;B;31.953;0;48.749;0;58.254;0;127.2;11:43.538;14:11;0:31.953;0:48.749;0:58.254;260.9;Nicolas Armindo;
7;1;1;31:53.885;0;;30:30.470;0;43.170;0;40.245;0;9.2;31:53.885;14:31;30:30.470;0:43.170;0:40.245;174.8;Anthony Davidson;
7;1;2;1:35.927;0;;20.510;0;39.861;0;35.556;0;184.2;33:29.812;14:33;0:20.510;0:39.861;0:35.556;291.9;Anthony Davidson;
7;1;3;1:33.026;0;;19.645;0;38.641;0;34.740;0;190.0;35:02.838;14:35;0:19.645;0:38.641;0:34.740;297.5;Anthony Davidson;
7;1;4;1:33.765;0;;19.410;0;39.135;0;35.220;0;188.5;36:36.603;14:36;0:19.410;0:39.135;0:35.220;299.2;Anthony Davidson;
7;1;5;1:38.320;0;;20.569;0;41.674;0;36.077;0;179.7;38:14.923;14:38;0:20.569;0:41.674;0:36.077;299.2;Anthony Davidson;
7;1;6;1:32.783;0;;19.495;0;38.753;0;34.535;0;190.5;39:47.706;14:39;0:19.495;0:38.753;0:34.535;300.0;Anthony Davidson;
7;1;7;1:31.736;3;;19.206;3;38.217;2;34.313;3;192.6;41:19.442;14:41;0:19.206;0:38.217;0:34.313;299.2;Anthony Davidson;
71;0;1;9:14.471;0;;7:45.578;0;49.341;0;39.552;0;31.9;9:14.471;14:09;7:45.578;0:49.341;0:39.552;162.7;Jaime Melo;
71;0;2;1:48.676;0;;22.626;0;44.712;0;41.338;0;162.6;11:03.147;14:11;0:22.626;0:44.712;0:41.338;254.7;Jaime Melo;
71;0;3;1:45.924;0;;22.388;0;43.973;0;39.563;0;166.8;12:49.071;14:12;0:22.388;0:43.973;0:39.563;254.1;Jaime Melo;
71;0;4;1:44.691;2;;22.166;0;43.847;2;38.678;2;168.8;14:33.762;14:14;0:22.166;0:43.847;0:38.678;254.7;Jaime Melo;
71;0;5;1:44.923;0;;22.103;2;44.053;0;38.767;0;168.4;16:18.685;14:16;0:22.103;0:44.053;0:38.767;254.1;Jaime Melo;
75;1;1;8:05.015;0;;6:33.616;0;49.400;0;41.999;0;36.4;8:05.015;14:08;6:33.616;0:49.400;0:41.999;133.8;Marco Holzer;
75;1;2;1:45.988;0;;22.468;0;44.468;0;39.052;0;166.7;9:51.003;14:09;0:22.468;0:44.468;0:39.052;259.0;Marco Holzer;
75;1;3;1:45.767;2;;22.280;0;44.565;0;38.922;2;167.1;11:36.770;14:11;0:22.280;0:44.565;0:38.922;260.2;Marco Holzer;
75;1;4;1:45.871;0;;22.403;0;44.528;0;38.940;0;166.9;13:22.641;14:13;0:22.403;0:44.528;0:38.940;259.0;Marco Holzer;
75;1;5;1:59.356;0;;28.882;0;50.679;0;39.795;0;148.1;15:21.997;14:15;0:28.882;0:50.679;0:39.795;197.8;Marco Holzer;
75;1;6;1:45.946;0;;22.480;0;44.462;2;39.004;0;166.8;17:07.943;14:17;0:22.480;0:44.462;0:39.004;259.0;Marco Holzer;
75;1;7;1:48.356;0;;23.183;0;45.730;0;39.443;0;163.1;18:56.299;14:18;0:23.183;0:45.730;0:39.443;235.3;Marco Holzer;
75;1;8;2:05.788;0;B;22.240;2;44.928;0;58.620;0;140.5;21:02.087;14:21;0:22.240;0:44.928;0:58.620;259.6;Marco Holzer;
76;0;1;7:45.032;0;;6:10.803;0;51.994;0;42.235;0;38.0;7:45.032;14:07;6:10.803;0:51.994;0:42.235;172.0;Patrick Pilet;
76;0;2;1:45.467;2;;22.185;0;44.254;2;39.028;2;167.6;9:30.499;14:09;0:22.185;0:44.254;0:39.028;259.6;Patrick Pilet;
76;0;3;2:01.053;0;;22.194;0;51.366;0;47.493;0;146.0;11:31.552;14:11;0:22.194;0:51.366;0:47.493;262.1;Patrick Pilet;
76;0;4;2:02.609;0;B;22.152;2;44.531;0;55.926;0;144.1;13:34.161;14:13;0:22.152;0:44.531;0:55.926;260.9;Patrick Pilet;
