POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
11;09;5;1:54.687;+1.845;+0.022;179.8;7;Automatic Racing;GS;;;Aston Martin Vantage GT4;M;2554;95;5;18;73;3;;16623;;;Rob;Ecklin;;Lancaster, PA;;;452;2;;;;Ramin;Abdolvahabi;Bronze;Palm Beach Gardens, FL;;;2227;1;Bronze;;;Brandon;Kidd;Silver;Syracuse, NY;;;1581;3;Silver;;;;;;;;;;;;;;;;;;;;;
12;91;4;1:54.880;+2.038;+0.193;179.5;7;Kellymoss with Riley;GS;;;Porsche 718 GT4 RS CS;M;2593;465;5;108;112;3;;16626;;;Riley;Dickinson;Silver;New Braunfels, TX;;;1773;1;Silver;;;Michael;McCarthy;;Clearwater, FL;;;2058;2;;;;Brady;Golan;;Austin, TX;;;3164;3;;;;;;;;;;;;;;;;;;;;;;
13;19;4;1:55.015;+2.173;+0.135;179.3;7;van der Steur Racing;GS;;;Aston Martin Vantage GT4;M;2589;341;5;18;73;3;;16624;;;Rory;van der Steur;Silver;Chesapeake City, MD;;;3218;1;Silver;;;Valentin;Hasse Clot;;Paris, France;;;3163;2;;;;Dominic;Starkweather;;Cave Creek, AZ;;;3129;3;;;;;;;;;;;;;;;;;;;;;;
14;88;5;1:55.104;+2.262;+0.089;179.2;7;Archangel Motorsports;GS;;;Aston Martin Vantage GT4;M;2551;300;5;18;73;3;;16603;;;Todd;Coleman;Bronze;Lakewood, CO;;;1944;1;Bronze;;;Aaron;Telitz;Gold;Birchwood, WI;;;1780;2;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;67;3;1:55.190;+2.348;+0.086;179.1;7;Czabok-Simpson Motorsport;GS;;;Porsche 718 GT4 RS CS;M;2562;519;5;108;112;3;;16611;;;Sebastian;Carazo;Silver;Guaynabo, PR;;;1708;4;Silver;;;Nikita;Lastochkin;Silver;Los Angeles, CA;;;3216;3;Silver;;;Gordon;Scully;;Chicago, IL;;;3254;2;;;;;;;;;;;;;;;;;;;;;;
16;94;4;1:55.200;+2.358;+0.010;179.0;7;Team ACP by Random Vandals;GS;B;;BMW M4 GT4 (G82);M;2598;517;5;188;74;3;;16609;;;Terry;Borcheller;Bronze;Vero Beach, FL;;;472;3;Bronze;;;Catesby;Jones;;New York City, NY;;;3248;2;;;;Ken;Goldberg;Bronze;Plantation, FL;;;3222;1;Bronze;;;;;;;;;;;;;;;;;;;;;
17;43;5;1:55.219;+2.377;+0.019;179.0;7;Stephen Cameron racing;GS;;;BMW M4 GT4 (G82);M;2263;220;5;188;74;3;;16602;;;Sean;Quinlan;Bronze;Palo Alto, CA;;;2172;1;Bronze;;;Gregory;Liefooghe;Silver;San Francisco, CA;;;504;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;57;4;1:55.289;+2.447;+0.070;178.9;7;WINWARD RACING;GS;;;Mercedes AMG GT GT4;M;2552;304;5;230;7643;3;;16604;;;Bryce;Ward;Bronze;Seabrook, TX;;;1249;3;Bronze;;;Daniel;Morad;Gold;Toronto, ON;;;1144;4;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;13;4;1:55.369;+2.527;+0.080;178.8;7;McCumbee McAleer Racing;GS;;;Ford Mustang GT4;M;2553;349;5;54;107;3;;16606;;;Jenson;Altzman;;Phoenix, AZ;;;2460;3;;;;Chad;McCumbee;Silver;Shallotte, NC;;;461;1;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;28;6;1:55.823;+2.981;+0.454;178.1;6;RS1;GS;;;Porsche 718 GT4 RS CS;M;1619;393;5;108;112;3;;16605;;;Austin;Krainz;Silver;Brookfield,CT;;;3241;4;Silver;;;Stevan;McAleer;Gold;Glasgow, Scotland;;;460;2;Gold;;;Trent;Hindman;Gold;Ocean Township, NJ;;;244;1;Gold;;;;;;;;;;;;;;;;;;;;;
21;44;5;1:55.927;+3.085;+0.104;177.9;7;Baby Bull Racing;GS;;;Porsche 718 GT4 RS CS;M;2559;456;5;108;112;3;;16610;;;Moisey;Uretsky;Bronze;Miami, FL;;;2465;1;Bronze;;;Michael;Cooper;Silver;Huntington, NY;;;2550;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;38;6;1:55.959;+3.117;+0.032;177.9;8;BGB MOTORSPORTS;GS;;;Porsche 718 GT4 RS CS;M;2580;157;5;108;112;3;;16620;;;Thomas;Collingwood;Bronze;St. John's, NT;;;1796;1;Bronze;;;Spencer;Pumpelly;Silver;Atlanta, GA;;;64;3;Silver;;;Jeroen;Bleekemolen;Gold;Aerdenhout, Netherlands;;;3230;2;Gold;;;;;;;;;;;;;;;;;;;;;
23;21;5;1:56.186;+3.344;+0.227;177.5;7;Rearden Racing;GS;;;Porsche 718 GT4 RS CS;M;2501;487;5;108;112;3;;16619;;;Jake;Pedersen;Silver;Orem, UT;;;3109;1;Silver;;;Vesko;Kozarov;;Park City, UT;;;476;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;51;4;1:56.462;+3.620;+0.276;177.1;6;Hattori Motorsports;GS;B;;Toyota GR Supra GT4 EVO;M;2569;494;5;202;7662;3;;16616;;;Matt;Forbush;Bronze;Kingsport, TN;;;2904;5;Bronze;;;Nick;Galante;Bronze;Greenfield, MA;;;784;4;Bronze;;;Mark;Kvamme;;Columbus, OH;;;3264;1;;;;;;;;;;;;;;;;;;;;;;
25;33;3;1:56.757;+3.915;+0.295;176.7;5;Bryan Herta Autosport with Curb Agajanian;TCR;;;Hyundai Elantra N TCR;M;952;255;22;98;7660;3;;16630;;;Harry;Gottsacker;Silver;San Antonio, TX;;;1456;3;Silver;;;Robert;Wickens;Silver;Guelph, ON;;;1286;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;93;3;1:57.056;+4.214;+0.299;176.2;5;Montreal Motorsport Group;TCR;;;Honda Civic FL5 TCR;M;2558;518;22;215;2081;3;;16635;;;DAI;Yoshihara;Bronze;Hachioji Tokyo;;;3226;1;Bronze;;;Karl;Wittmer;Silver;Montreal, QC;;;2557;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;55;6;1:57.185;+4.343;+0.129;176.0;7;Gou Racing;TCR;;;Audi RS3 LMS TCR;M;2500;495;22;84;909;3;;16629;;;Eddie;Gou;;Southlake TX;;;3158;1;;;;Eduardo;Gou;;Southlake, TX;;;3155;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;80;2;1:57.229;+4.387;+0.044;175.9;6;Victor Gonzalez Racing Team;TCR;;;Hyundai Elantra N TCR;M;2594;470;22;98;7660;3;;16640;;;Morgan;Burkhard;;Charles Town, WV;;;3240;1;;;;Julian;Santero;;Mendoza, Argentina;;;2752;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;89;4;1:57.367;+4.525;+0.138;175.7;6;HART;TCR;;;Honda Civic FK7 TCR;M;2143;76;22;97;2081;3;;16628;;;Chad;Gilsinger;Bronze;Marysville, OH;;;517;1;Bronze;;;Tyler;Chambers;;Columbus, OH;;;3098;4;;;;Steve;Eich;Bronze;Marysville, OH;;;516;2;Bronze;;;;;;;;;;;;;;;;;;;;;
30;6;3;1:57.712;+4.870;+0.345;175.2;6;Montreal Motorsport Group;TCR;;;Honda Civic FL5 TCR;M;2557;518;22;215;2081;3;;16634;;;LP;Montour;;Blainville,Qc, Canada;;;3244;1;;;;Bryan;Ortiz;Silver;Bayamon, PR;;;796;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;5;6;1:58.075;+5.233;+0.363;174.7;7;KMW Motorsports with TMR Engineering;TCR;;;Alfa Romeo Giulietta Veloce TCR;M;962;265;22;95;7658;3;;16637;;;Tim;Lewis;;Boca Raton, FL;;;1801;2;;;;William;Tally;;Athens, GA;;;2039;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;71;6;1:58.080;+5.238;+0.005;174.7;8;Rebel Rock Racing;GS;;;Aston Martin Vantage AMR GT4 Evo;M;2568;45;5;18;73;3;;16614;;;Frank;DePew;Bronze;Richmond, VA;;;1151;3;Bronze;;;Robin;Liddell;Silver;Edinburgh, Scotland;;;411;1;Silver;;;Andrew;Davis;Silver;Athens, GA;;;329;2;Silver;;;;;;;;;;;;;;;;;;;;;
33;61;6;1:58.105;+5.263;+0.025;174.6;7;Road Shagger Racing;TCR;;;Audi RS3 LMS TCR;M;2450;342;22;84;909;3;;16638;;;Jon;Morley;Bronze;San Francisco, CA;;;3200;2;Bronze;;;Gavin;Ernstone;;Las Vegas, NV;;;1652;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;98;5;1:58.264;+5.422;+0.159;174.4;7;Bryan Herta Autosport with Curb Agajanian;TCR;;;Hyundai Elantra N TCR;M;953;255;22;98;7660;3;;16633;;;Mason;Filippi;Silver;Alamo, CA;;;1829;4;Silver;;;Mark;Wilkins;Gold;Mulmur, ON;;;317;1;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;8;6;1:58.906;+6.064;+0.642;173.5;8;Victor Gonzalez Racing Team;TCR;;;Honda Civic FK7 TCR;M;2595;470;22;97;2081;3;;16641;;;Colton;Reynolds;;Palos Verdes, CA;;;3231;2;;;;Clayton;Williams;Silver;Oakley, CA;;;3071;1;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;77;3;1:59.067;+6.225;+0.161;173.2;8;Bryan Herta Autosport with Curb Agajanian;TCR;;;Hyundai Elantra N TCR;M;1872;255;22;98;7660;3;;16631;;;Taylor;Hagler;Silver;San Antonio, TX;;;1921;3;Silver;;;Bryson;Morris;Silver;Mount Juliet, TN;;;2668;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;70;4;1:59.070;+6.228;+0.003;173.2;7;Deily Motorsports LLC;TCR;;;Hyundai Elantra N TCR;M;2235;474;22;98;7660;3;;16639;;;Jacob;Deily;Silver;Edmond, OK;;;2954;2;Silver;;;Jordan;Wisely;;Mustang, OK;;;3128;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;76;3;1:59.210;+6.368;+0.140;173.0;5;Bryan Herta Autosport with Curb Agajanian;TCR;;;Hyundai Elantra N TCR;M;2555;255;22;98;7660;3;;16632;;;Preston;Brown;;Chapel Hill, NC;;;2877;1;;;;Denis;Dupont;Silver;Montreal, QC;;;2250;4;Silver;;;Nick;Looijmans;;Ottawa, ON;;;2936;2;;;;;;;;;;;;;;;;;;;;;;
39;15;6;2:00.215;+7.373;+1.005;171.6;7;Rockwell Autosport Development;TCR;;;Audi RS3 LMS SEQ;M;2358;359;22;99;909;3;;16636;;;Eric;Rockwell;;Colts Neck, NJ;;;2431;1;;;;Douglas;Oakley;;Howell, NJ;;;2430;2;;;;Tom;O'Gorman;;Cincinnati, OH;;;1721;3;;;;;;;;;;;;;;;;;;;;;;
40;64;5;2:01.603;+8.761;+1.388;169.6;7;Team TGM;GS;B;;Aston Martin Vantage GT4;M;2547;79;5;18;73;3;;16599;;;Ted;Giovanis;Bronze;Highland, MD;;;489;1;Bronze;;;Hugh;Plumb;Bronze;Unionville, PA;;;421;3;Bronze;;;Kris;Wilson;Bronze;Golden, CO;;;423;2;Bronze;;;;;;;;;;;;;;;;;;;;;
41;73;4;2:02.387;+9.545;+0.784;168.5;8;Racers Edge Motorsports;TCR;;;Honda Civic FK7 TCR;M;2614;112;22;97;2081;3;;16643;;;Daniel;Wu;;Oakland, Ca;;;3256;1;;;;Tazio;Ottis;Silver;Alameda, CA;;;1349;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;23;0;;+2.630;+0.103;;7;Smooge Racing;GS;;;Toyota GR Supra GT4 EVO;M;2584;401;5;202;7662;3;;16622;;;Bubba;Wallace;;Mobile, AL;;;3242;3;;;;Corey;Heim;Silver;Marietta, GA;;;3234;2;Silver;;;John Hunter;Nemechek;;Mooresville;;;3252;5;;;;;;;;;;;;;;;;;;;;;;
43;17;0;;;;;0;JDC-Miller MotorSports;TCR;;;Audi RS3 LMS TCR;M;2209;15;22;84;909;3;;16627;;;Chris;Miller;Silver;Minneapolis, MN;;;265;1;Silver;;;Mikey;Taylor;Silver;Pretoria, South Africa;;;791;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;99;0;;;;;0;Victor Gonzalez Racing Team;TCR;;;Hyundai Elantra N TCR;M;2470;470;22;98;7660;3;;16642;;;Tyler;Gonzalez;;St. Cloud, FL;;TGO;2164;3;;;;Victor;Gonzalez;;Trujillo Alto;;VGO;811;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;16;0;;;;;0;Skip Barber Racing;GS;;;Aston Martin Vantage GT4;M;2570;508;5;18;73;3;;16618;;;Ken;Fukuda;Bronze;Oakland, CA;;;3173;1;Bronze;;;Carter;Fartuch;;Fort Pierce, FL;;;3260;2;;;;Will;Lambros;;Northport NY;;;3261;3;;;;;;;;;;;;;;;;;;;;;;
