NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;
42;1;2;2:20.895;0;;39.091;0;1:06.686;0;35.118;2;179.0;5:58.423;17:00;0:39.091;1:06.686;0:35.118;257.1;Danny Watts;
42;1;3;2:13.850;2;;38.875;2;59.752;0;35.223;0;188.4;8:12.273;17:03;0:38.875;0:59.752;0:35.223;260.9;Danny Watts;
42;1;4;2:23.741;0;B;39.853;0;1:00.314;0;43.574;0;175.4;10:36.014;17:05;0:39.853;1:00.314;0:43.574;258.4;Danny Watts;
42;1;5;4:03.377;0;;2:15.750;0;1:06.208;0;41.419;0;103.6;14:39.391;17:09;2:15.750;1:06.208;0:41.419;238.4;Danny Watts;
42;1;6;2:14.448;0;;38.967;0;58.785;1;36.696;0;187.5;16:53.839;17:11;0:38.967;0:58.785;0:36.696;261.5;Danny Watts;
42;1;7;2:17.308;0;;42.699;0;59.436;0;35.173;0;183.6;19:11.147;17:14;0:42.699;0:59.436;0:35.173;252.3;Danny Watts;
42;1;8;2:20.728;0;B;38.923;0;59.176;0;42.629;0;179.2;21:31.875;17:16;0:38.923;0:59.176;0:42.629;261.5;Danny Watts;
42;1;9;3:54.241;0;;2:14.979;0;1:03.590;0;35.672;0;107.6;25:26.116;17:20;2:14.979;1:03.590;0:35.672;246.6;Danny Watts;
42;1;10;2:12.105;0;;39.136;0;58.024;2;34.945;0;190.9;27:38.221;17:22;0:39.136;0:58.024;0:34.945;257.8;Danny Watts;
42;1;11;3:06.359;0;B;56.258;0;1:14.293;0;55.808;0;135.3;30:44.580;17:25;0:56.258;1:14.293;0:55.808;171.2;Danny Watts;
42;0;12;9:16.302;0;;7:29.165;0;1:09.014;0;38.123;0;45.3;40:00.882;17:35;7:29.165;1:09.014;0:38.123;239.5;Nick Leventis;
42;0;13;3:02.328;0;B;41.269;0;1:13.499;0;1:07.560;0;138.3;43:03.210;17:38;0:41.269;1:13.499;1:07.560;255.9;Nick Leventis;
43;0;1;3:24.417;0;;1:31.030;0;1:13.006;0;40.381;0;123.3;3:24.417;16:58;1:31.030;1:13.006;0:40.381;217.3;Barry Gates;
43;0;2;2:28.784;0;;42.847;0;1:07.263;0;38.674;0;169.5;5:53.201;17:00;0:42.847;1:07.263;0:38.674;225.0;Barry Gates;
43;0;3;2:25.857;0;;41.736;0;1:05.110;0;39.011;0;172.9;8:19.058;17:03;0:41.736;1:05.110;0:39.011;244.3;Barry Gates;
43;0;4;2:26.368;0;;42.062;0;1:05.762;0;38.544;0;172.3;10:45.426;17:05;0:42.062;1:05.762;0:38.544;245.5;Barry Gates;
43;0;5;2:25.356;0;;42.321;0;1:04.373;0;38.662;0;173.5;13:10.782;17:08;0:42.321;1:04.373;0:38.662;244.3;Barry Gates;
43;0;6;2:30.902;0;;42.890;0;1:08.824;0;39.188;0;167.1;15:41.684;17:10;0:42.890;1:08.824;0:39.188;246.6;Barry Gates;
43;0;7;2:24.266;0;;42.264;0;1:04.477;0;37.525;2;174.8;18:05.950;17:13;0:42.264;1:04.477;0:37.525;245.5;Barry Gates;
43;0;8;2:26.814;0;;41.385;0;1:05.266;0;40.163;0;171.7;20:32.764;17:15;0:41.385;1:05.266;0:40.163;246.6;Barry Gates;
43;0;9;2:23.463;0;;41.448;0;1:03.542;2;38.473;0;175.8;22:56.227;17:17;0:41.448;1:03.542;0:38.473;243.8;Barry Gates;
43;0;10;2:22.674;2;;41.269;2;1:03.799;0;37.606;0;176.7;25:18.901;17:20;0:41.269;1:03.799;0:37.606;245.5;Barry Gates;
43;0;11;2:28.292;0;;41.792;0;1:05.127;0;41.373;0;170.0;27:47.193;17:22;0:41.792;1:05.127;0:41.373;242.7;Barry Gates;
43;0;12;3:06.558;0;B;57.672;0;1:13.803;0;55.083;0;135.2;30:53.751;17:25;0:57.672;1:13.803;0:55.083;196.0;Barry Gates;
43;0;13;10:47.706;0;;9:03.796;0;1:06.017;0;37.893;0;38.9;41:41.457;17:36;9:03.796;1:06.017;0:37.893;204.2;Barry Gates;
43;0;14;2:58.242;0;B;44.648;0;1:16.425;0;57.169;0;141.5;44:39.699;17:39;0:44.648;1:16.425;0:57.169;220.0;Barry Gates;
44;0;1;3:39.150;0;;1:58.309;0;1:04.489;0;36.352;2;115.1;3:39.150;16:58;1:58.309;1:04.489;0:36.352;213.9;Fabien Rosier;
44;0;2;2:47.033;0;;40.348;2;1:04.744;1;1:01.941;1;151.0;6:26.183;17:01;0:40.348;1:04.744;1:01.941;257.8;Fabien Rosier;
44;0;3;2:29.452;0;B;41.161;0;1:02.963;0;45.328;0;168.7;8:55.635;17:03;0:41.161;1:02.963;0:45.328;259.0;Fabien Rosier;
44;1;4;9:33.142;0;;7:45.629;0;1:08.945;0;38.568;0;44.0;18:28.777;17:13;7:45.629;1:08.945;0:38.568;234.3;Jean-Marc Luco;
44;1;5;2:27.789;0;;42.847;0;1:06.629;0;38.313;0;170.6;20:56.566;17:15;0:42.847;1:06.629;0:38.313;216.4;Jean-Marc Luco;
44;1;6;2:25.441;0;;42.075;1;1:05.382;0;37.984;0;173.4;23:22.007;17:18;0:42.075;1:05.382;0:37.984;238.9;Jean-Marc Luco;
44;1;7;2:23.946;2;;42.169;0;1:03.901;1;37.876;1;175.2;25:45.953;17:20;0:42.169;1:03.901;0:37.876;244.9;Jean-Marc Luco;
44;1;8;2:38.746;0;B;42.085;0;1:02.838;2;53.823;0;158.8;28:24.699;17:23;0:42.085;1:02.838;0:53.823;252.3;Jean-Marc Luco;
44;1;9;11:52.615;0;;10:04.550;0;1:07.700;0;40.365;0;35.4;40:17.314;17:35;10:04.550;1:07.700;0:40.365;238.9;Jean-Marc Luco;
44;1;10;2:57.871;0;B;42.255;0;1:11.495;0;1:04.121;0;141.8;43:15.185;17:38;0:42.255;1:11.495;1:04.121;246.0;Jean-Marc Luco;
45;0;1;3:26.935;0;;1:39.098;0;1:06.765;0;41.072;0;121.8;3:26.935;16:58;1:39.098;1:06.765;0:41.072;208.1;Dominik Kraihamer;
45;0;2;2:17.055;0;;39.421;0;1:01.450;0;36.184;0;184.0;5:43.990;17:00;0:39.421;1:01.450;0:36.184;256.5;Dominik Kraihamer;
45;0;3;2:19.278;0;;38.716;0;1:03.916;0;36.646;0;181.0;8:03.268;17:03;0:38.716;1:03.916;0:36.646;262.1;Dominik Kraihamer;
45;0;4;2:15.434;2;;39.176;0;1:01.038;2;35.220;2;186.2;10:18.702;17:05;0:39.176;1:01.038;0:35.220;261.5;Dominik Kraihamer;
45;0;5;2:24.448;0;B;38.932;0;1:01.876;0;43.640;0;174.6;12:43.150;17:07;0:38.932;1:01.876;0:43.640;260.9;Dominik Kraihamer;
45;0;6;8:20.848;0;;6:42.410;0;1:03.036;0;35.402;0;50.3;21:03.998;17:16;6:42.410;1:03.036;0:35.402;250.0;Dominik Kraihamer;
45;0;7;2:17.028;0;;38.706;1;1:02.609;0;35.713;0;184.0;23:21.026;17:18;0:38.706;1:02.609;0:35.713;260.2;Dominik Kraihamer;
45;0;8;2:17.779;0;;38.738;0;1:02.022;0;37.019;0;183.0;25:38.805;17:20;0:38.738;1:02.022;0:37.019;262.1;Dominik Kraihamer;
45;0;9;2:25.634;0;B;39.295;0;1:01.390;0;44.949;0;173.1;28:04.439;17:23;0:39.295;1:01.390;0:44.949;244.9;Dominik Kraihamer;
45;0;10;11:38.864;0;;9:59.707;0;1:03.501;0;35.656;0;36.1;39:43.303;17:34;9:59.707;1:03.501;0:35.656;232.3;Dominik Kraihamer;
45;0;11;2:34.049;0;B;38.630;2;1:01.840;0;53.579;0;163.7;42:17.352;17:37;0:38.630;1:01.840;0:53.579;261.5;Dominik Kraihamer;
46;1;1;3:27.155;0;;1:41.043;0;1:06.787;0;39.325;0;121.7;3:27.155;16:58;1:41.043;1:06.787;0:39.325;240.0;Pierre Thiriet;
46;1;2;2:19.571;0;;39.816;0;1:04.054;0;35.701;0;180.7;5:46.726;17:00;0:39.816;1:04.054;0:35.701;260.2;Pierre Thiriet;
46;1;3;2:17.895;0;;39.319;0;1:02.433;0;36.143;0;182.9;8:04.621;17:03;0:39.319;1:02.433;0:36.143;260.9;Pierre Thiriet;
46;1;4;2:15.795;0;;39.337;0;1:01.352;0;35.106;0;185.7;10:20.416;17:05;0:39.337;1:01.352;0:35.106;263.4;Pierre Thiriet;
46;1;5;2:17.368;0;;38.731;0;1:02.099;0;36.538;0;183.6;12:37.784;17:07;0:38.731;1:02.099;0:36.538;263.4;Pierre Thiriet;
46;1;6;2:22.801;0;B;38.725;0;59.620;2;44.456;0;176.6;15:00.585;17:10;0:38.725;0:59.620;0:44.456;261.5;Pierre Thiriet;
46;1;7;5:06.280;0;;3:25.974;0;1:04.267;0;36.039;0;82.3;20:06.865;17:15;3:25.974;1:04.267;0:36.039;188.8;Pierre Thiriet;
46;1;8;2:16.449;0;;39.209;0;1:01.711;0;35.529;0;184.8;22:23.314;17:17;0:39.209;1:01.711;0:35.529;261.5;Pierre Thiriet;
46;1;9;2:13.795;2;;38.664;2;59.879;1;35.252;0;188.5;24:37.109;17:19;0:38.664;0:59.879;0:35.252;261.5;Pierre Thiriet;
