POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
21;40;5;1:57.406;+3.166;+0.107;167.8;7;PF Racing;GS;;;Ford Mustang GT4;M;629;243;5;54;107;3;;11078;;;James;Pesek;Silver;Harrisonville, MO;;;1745;3;Silver;;;Chad;McCumbee;;Ocean Isle Beach, NC;;;461;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;5;4;1:57.543;+3.303;+0.137;167.6;6;KMW Motorsports with TMR Engineering;TCR;;;Alfa Romeo Giulietta Veloce TCR;M;962;265;22;95;7658;3;;11100;;;Roy;Block;;Winter Park, FL;;;1077;3;;;;Tim;Lewis;;Boca Raton, FL;;;1801;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;19;3;1:57.771;+3.531;+0.228;167.3;8;VAN DER STEUR RACING;TCR;;;Hyundai Veloster N TCR;M;950;341;22;76;7660;3;;11088;;;Rory;van der Steur;;Chesapeake City, MD;;;2408;1;;;;Denis;Dupont;;Braine le Chateau, Belgiu;;;2250;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;14;4;1:57.829;+3.589;+0.058;167.2;7;Riley Motorsports;GS;;;Toyota Supra GT4;M;919;35;5;104;7662;3;;11063;;;Javier;Quiros;;Escazú, Costa Rica;;;727;1;;;;Alfredo;Najri;;Santo Domingo, DR;;;2257;2;;;;Felipe;Fraga;Gold;Palmas, Brazil;;;1750;3;Gold;;;;;;;;;;;;;;;;;;;;;
25;56;5;1:57.983;+3.743;+0.154;167.0;8;Murillo Racing;GS;;;Mercedes-AMG GT GT4;M;765;212;5;89;7643;3;;11083;;;Jeff;Mosing;Bronze;Austin, TX;;;487;2;Bronze;;;Eric;Foss;Silver;Fort Worth, TX;;;488;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;33;6;1:58.096;+3.856;+0.113;166.8;7;Bryan Herta Autosport w/ Curb-Agajanian;TCR;;;Hyundai Elantra N TCR;M;952;255;22;98;7660;3;;11090;;;Harry;Gottsacker;Silver;San Antonio, TX;;;1456;3;Silver;;;Mark;Wilkins;Gold;Mulmur, ON;;;317;4;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;27;3;1:58.266;+4.026;+0.170;166.6;6;COPELAND MOTORSPORTS;TCR;;;Hyundai Veloster N TCR;M;898;329;22;76;7660;3;;11094;;;Tyler;Maxson;Silver;Bogart, GA;;;2151;1;Silver;;;Tyler;Gonzalez;;St. Cloud, FL;;;2164;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;21;7;1:58.307;+4.067;+0.041;166.5;7;Riley Motorsports;GS;;;Toyota Supra GT4;M;1414;35;5;104;7662;3;;11176;;;Anton;Dias Perera;;Memphis,TN;;;1987;1;;;;Scott;Andrews;Silver;Torquay, Australia;;;1657;3;Silver;;;Colin;Braun;Gold;Ovalo, TX;;;61;2;Gold;;;;;;;;;;;;;;;;;;;;;
29;71;6;1:58.434;+4.194;+0.127;166.3;8;Rebel Rock Racing;GS;;;Chevrolet Camaro GT4.R;M;539;45;5;63;105;3;;11116;;;Frank;DePew;;Richmond, VA;;;1151;3;;;;Robin;Liddell;Silver;Edinburgh, Scotland;;;411;1;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;93;4;1:58.496;+4.256;+0.062;166.2;7;CarBahn with Peregrine;GS;;;Audi R8 GT4;M;863;285;5;86;909;3;;11109;;;Mark;Siegel;;Palo Alto, CA;;;1569;1;;;;Nolan;Siegel;;Palo Alto, CA;;;2421;3;;;;Tom;Dyer;Silver;Corte Madera, CA;;;805;6;Silver;;;;;;;;;;;;;;;;;;;;;
31;77;6;1:58.655;+4.415;+0.159;166.0;8;Bryan Herta Autosport w/ Curb-Agajanian;TCR;;;Hyundai Veloster N TCR;M;954;255;22;76;7660;3;;11092;;;Taylor;Hagler;;San Antonio, TX;;;1921;1;;;;Michael;Lewis;Gold;Laguna Beach, CA;;;730;2;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;61;6;1:58.778;+4.538;+0.123;165.8;8;Road Shagger Racing;TCR;;;Audi RS3 LMS SEQ;M;1409;342;22;99;909;3;;11096;;;Gavin;Ernstone;;Las Vegas, NV;;;1652;1;;;;Jon;Morley;Bronze;San Francisco, CA;;;2405;2;Bronze;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;54;5;1:58.906;+4.666;+0.128;165.7;8;Michael Johnson Racing;TCR;;;Hyundai Veloster N TCR;M;955;255;22;76;7660;3;;11093;;;Michael;Johnson;;Mount Morris, MI;;;261;1;;;;Stephen;Simpson;Silver;Cape Town, South Africa;;;765;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;51;3;1:59.044;+4.804;+0.138;165.5;6;COPELAND MOTORSPORTS;TCR;;;Hyundai Veloster N TCR;M;958;329;22;76;7660;3;;11097;;;Mason;Filippi;Silver;Alamo, CA;;;2228;1;Silver;;;AJ;Muss;Silver;Rumson, NJ;;;1929;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;60;7;2:01.337;+7.097;+2.293;162.3;7;Capstone Motorsports;GS;;;Mercedes-AMG GT GT4;M;1485;380;5;89;7643;3;;11170;;;Gary;Ferrera;;Houston, TX;;;1735;1;;;;John;Allen;Bronze;Selma, AL;;;1733;2;Bronze;;;Kris;Wilson;;Golden, CO;;;423;3;;;;;;;;;;;;;;;;;;;;;;
36;64;5;2:01.530;+7.290;+0.193;162.1;8;TeamTGM;GS;;;Chevrolet Camaro GT4.R;M;920;79;5;63;105;3;;11064;;;Ted;Giovanis;Bronze;Highland, MD;;;489;1;Bronze;;;Owen;Trinkler;Silver;Nashville,TN;;;519;5;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;17;7;2:03.468;+9.228;+1.938;159.5;8;Unitronic JDC-Miller MotorSports;TCR;;;Audi RS3 LMS SEQ;M;956;270;22;99;909;3;;11095;;;Chris;Miller;Silver;Minneapolis, MN;;;265;1;Silver;;;Mikey;Taylor;;Pretoria, South Africa;;;791;2;;;;William;Tally;;Athens, GA;;;2039;3;;;;;;;;;;;;;;;;;;;;;;
38;98;0;;+4.023;+1.025;;0;Bryan Herta Autosport w/ Curb-Agajanian;TCR;;;Hyundai Elantra N TCR;M;953;255;22;98;7660;3;;11091;;;Parker;Chase;;New Braunfels, TX;;;1137;1;;;;Ryan;Norman;Silver;Estero, FL;;;2231;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
