NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
50;1;4;3:27.031;2;;33.196;2;1:19.208;3;1:34.627;3;236.9;16:22.529;12:16:22.529;0:33.196;1:19.208;1:34.627;341.3;Antonio FUOCO;;HYPERCAR;H;Ferrari AF Corse;Ferrari;FF;33.196;79.208;94.627;
51;2;1;7:13.211;0;B;2:21.935;0;1:35.930;0;3:15.346;0;112.0;7:13.211;12:07:13.211;2:21.935;1:35.930;3:15.346;228.7;James CALADO;0:01:36.534;HYPERCAR;H;Ferrari AF Corse;Ferrari;GF;141.935;95.930;195.346;
51;2;2;4:55.224;0;B;1:25.558;0;1:31.913;2;1:57.753;0;166.2;12:08.435;12:12:08.435;1:25.558;1:31.913;1:57.753;263.2;James CALADO;0:00:52.359;HYPERCAR;H;Ferrari AF Corse;Ferrari;GF;85.558;91.913;117.753;
51;2;3;5:18.631;0;B;1:36.181;0;1:33.943;0;2:08.507;0;154.0;17:27.066;12:17:27.066;1:36.181;1:33.943;2:08.507;271.8;James CALADO;0:00:58.544;HYPERCAR;H;Ferrari AF Corse;Ferrari;FF;96.181;93.943;128.507;
54;3;1;5:16.811;0;;1:03.961;0;1:36.702;0;2:36.148;0;153.2;5:16.811;12:05:16.811;1:03.961;1:36.702;2:36.148;280.3;Davide RIGON;0:00:23.934;LMGT3;;Vista AF Corse;Ferrari;FCY;63.961;96.702;156.148;
54;3;2;4:29.849;0;;1:04.018;0;1:32.753;0;1:53.078;0;181.8;9:46.660;12:09:46.660;1:04.018;1:32.753;1:53.078;289.3;Davide RIGON;;LMGT3;;Vista AF Corse;Ferrari;GF;64.018;92.753;113.078;
54;3;3;3:57.699;2;;37.415;2;1:31.750;2;1:48.534;2;206.4;13:44.359;12:13:44.359;0:37.415;1:31.750;1:48.534;291.6;Davide RIGON;;LMGT3;;Vista AF Corse;Ferrari;GF;37.415;91.750;108.534;
54;3;4;4:07.052;0;B;38.123;0;1:32.954;0;1:55.975;0;198.6;17:51.411;12:17:51.411;0:38.123;1:32.954;1:55.975;287.7;Davide RIGON;;LMGT3;;Vista AF Corse;Ferrari;FF;38.123;92.954;115.975;
57;2;1;7:08.506;0;;2:15.791;0;1:44.314;0;3:08.401;0;113.3;7:08.506;12:07:08.506;2:15.791;1:44.314;3:08.401;191.5;Daniel SERRA;0:01:33.437;LMGT3;;Kessel Racing;Ferrari;GF;135.791;104.314;188.401;
57;2;2;4:09.055;0;;40.385;0;1:37.512;0;1:51.158;0;197.0;11:17.561;12:11:17.561;0:40.385;1:37.512;1:51.158;250.4;Daniel SERRA;;LMGT3;;Kessel Racing;Ferrari;GF;40.385;97.512;111.158;
